key,value
amc_name,Wealth Company Asset Management Holdings Private Limited
main_scheme_name,THE WEALTH COMPANY GOLD ETF FOF
mutual_fund_name,The Wealth Company Mutual Fund
description,
field_location,


instrument_type,min,max,total,risk_profile
Units Of The Wealth Company Gold Etf,95,100,,
Debt Securities And Money Market Instruments And Government Securities,0,5,,


