page,table,mutual_fund_name,main_scheme_name,portfolio_data_0,portfolio_data_1,monthly_aaum_value,empty_col
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,Axis Bank Ltd,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,Kotak Nifty PSU Bank ETF,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,Fusion Finance Ltd,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,Kotak Mahindra Bank Ltd,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,ITC Ltd,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,ICICI Prudential Nifty Bank ETF - NIFTY BANK INDEX,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,Genus Power Infrastrucure Ltd,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,ETERNAL Ltd (Zomato Ltd),,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,UltraTech Cement Ltd,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,PB FINTECH Ltd,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,RBL Bank Ltd,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,Mahindra And Mahindra Ltd,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,Hindustan Petroleum Corporation Ltd,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,Bharti Airtel Ltd. (Partly Paid),,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,Persistent Systems Ltd,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,Swiggy Ltd,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,Nagarjuna Construction Co. Ltd,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,Others,,"8,422.91",


12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,PORTFOLIO AS ON 27-Feb-2026,,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,,HOLDINGS,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,MARKET INSTRUMENTS & NCA,1.20%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,,HOLDINGS,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,SECURITIES,27.89%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Gsec 18 Aug 2055,6.62%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Govt. Stock 2035,3.54%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Gsec 15/04/2065,3.41%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,CS 19/12/2029,3.38%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,MH SGS 25/01/2033,2.27%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,CS 19/12/2033,1.78%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,CS 15/062030,1.72%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Cs 19 Jun 2030,1.72%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Gsec 21 July 2030,1.48%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Gsec 05/12/2030,1.32% 0.66%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,,HOLDINGS,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,DEBT,14.64%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Shriram Transport Finance Company Ltd 28/03/2028,6.92%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,IOT Utkal Energy Services Ltd 2028 20/09/2028,4.05%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,IOT Utkal Energy Services Ltd 2028 20/07/2028,1.60%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,AU Small Finance Bank ltd 13/08/2032,1.60%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,LIC Housing Finance Ltd 23/03/2029,0.47%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,,HOLDINGS 56.27%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Bank Ltd,5.00%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Bank Ltd,4.23%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Industries Ltd,3.35%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Technologies Ltd.,2.14%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Bank of India,2.14%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Nifty PSU Bank ETF,1.83%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Bank Ltd,1.74%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Consultancy Services Ltd,1.66%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Mahindra Bank Ltd,1.61%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Finance Ltd,1.45%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Ltd Nifty Bank,1.36% 1.33%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Infra Investment Trust,1.10%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Ltd (Zomato Ltd),1.04%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Cement Ltd,1.04%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Nifty Bank ETF,0.91%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Power Infrastrucure Ltd,0.89%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,And Mahindra Ltd,0.85%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Construction Co. Ltd,0.84%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Bank Ltd,0.82%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,National Bank,0.78%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Raj Ltd,0.76%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,of Baroda,0.75%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,Airtel Ltd. (Partly Paid),0.75%,"6,698.22",
12,tbl_0,Generali Central Life Insurance Fund,FUTURE BALANCE FUND,FINTECH Ltd,17.18% 0.72%,"6,698.22",


13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,PORTFOLIO AS ON 27-Feb-2026,,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,SECURITIES,HOLDINGS,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,MONEY MARKET INSTRUMENTS & NCA,10.23%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,SECURITIES,HOLDINGS,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,GOVERNMENT SECURITIES,72.52%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,6.90% Gsec 15/04/2065,35.62%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,0% CS 19/12/2029,20.94%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,8.68% TN SDL 10/10/2028,13.93%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,7.10% GOI Sovereign Green Bond 27/01/2028,2.03%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,SECURITIES,HOLDINGS,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,EQUITY,17.25%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,State Bank of India,0.95%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,Axis Bank Ltd,0.85%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,ICICI Bank Ltd,0.82%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,Infosys Technologies Ltd.,0.77%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,IndusInd Bank Ltd,0.72%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,Fusion Finance Ltd,0.66%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,TRENT Ltd,0.60%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,Tata Consultancy Services Ltd,0.58%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,HDFC Bank Ltd,0.57%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,ITC Ltd,0.41%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,Mahindra And Mahindra Ltd,0.37%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,Punjab National Bank,0.36%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,Equitas Small Finance Bank Ltd,0.36%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,Nippon India ETF Nifty PSU Bank BeES,0.35%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,ETERNAL Ltd (Zomato Ltd),0.34%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,Nagarjuna Construction Co. Ltd,0.34%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,Anant Raj Ltd,0.34%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,Maruti Suzuki India Ltd,0.33%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,Kotak Nifty PSU Bank ETF,0.30%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,Genus Power Infrastrucure Ltd,0.29%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,UltraTech Cement Ltd,0.28%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,NTPC Ltd,0.28%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,DSP Mutual Fund - DSP Nifty PSU Bank ETF,0.27%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,Hindustan Petroleum Corporation Ltd,0.27%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,Bharat Bijlee Ltd,0.27%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,Others,5.57%,45.50,
13,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION BALANCE FUND,,13%,45.50,


14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,PORTFOLIO AS ON 27-Feb-2026,,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,,HOLDINGS,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,MARKET INSTRUMENTS & NCA,1.89%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,,HOLDINGS,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,SECURITIES,30.23%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,GOI OIL Bond 23/03/2026,8.63%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,Gsec 15/04/2065,7.00%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,TN SDL 09/05/2028,5.47%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,Govt. Stock 2035,4.54%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,MH SDL 09/03/2026,2.70%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,Gsec 18 Aug 2055,1.70%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,Guj SDL 12/07/2027,0.18%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,DEBT,HOLDINGS 5.99%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,LIC Housing Finance Ltd 23/03/2029,5.99%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,,HOLDINGS 61.88%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,Bank Ltd,4.67%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,Bank Ltd,4.08%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,Bank Ltd,3.72%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,Bank Industries of India Ltd,3.25% 3.09%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,Mahindra Bank Ltd,2.76%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,Technologies Bank Ltd Ltd.,2.56% 1.97%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,Finance Ltd,1.95%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,Consultancy Services Ltd,1.93%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,National Bank,1.55%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,Raj Ltd,1.26%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,Construction Co. Ltd,1.18%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,And Mahindra Ltd,1.15%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,Power Infrastrucure Ltd,1.06%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,Cement Petroleum Ltd Corporation Ltd,1.05% 0.95%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,Ltd,0.89%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,India ETF Nifty PSU Bank BeES,0.88%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,of Baroda,0.88%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,Ltd,0.83%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,FINTECH Ltd,0.83%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,Ltd,0.81%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,Ltd (Zomato Ltd),0.80%,173.95,
14,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION GROWTH FUND,Suzuki India Ltd,17.00% 0.77%,173.95,


15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,PORTFOLIO AS ON 27-Feb-2026,,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,SECURITIES,HOLDINGS,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,MONEY MARKET INSTRUMENTS & NCA,5.25%,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,SECURITIES,HOLDINGS,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,GOVERNMENT SECURITIES,55.80%,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,7.24% Gsec 18 Aug 2055,10.17%,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,0% Cs 19 Jun 2033,7.72%,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,0% CS 22 APR 2037,6.28%,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,6.01% Gsec 21 July 2030,6.27%,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,6.48% Govt. Stock 2035,6.25%,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,0% CS 15/062030,5.02%,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,6.90% Gsec 15/04/2065,3.69%,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,0% CS 19/12/2033,3.68%,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,7.64% MH SGS 25/01/2033,3.40%,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,0% CS 22/04/2035,1.70%,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,Others,1.62%,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,SECURITIES,HOLDINGS,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,CORPORATE DEBT,38.96%,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,9.00% Shriram Transport Finance Company Ltd,,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,28/03/2028,7.80%,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,9.00%Cholamandalam Investment & Fin Co Ltd 20,,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,09/04/2031,7.72%,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,7.27% NABARD 23 Feb 2029,7.01%,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,8.85% Sammaan Capital Ltd 26/09/2026,5.84%,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,10.63% IOT Utkal Energy Services Ltd 2028,,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,20/09/2028,5.75%,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,10.63% IOT Utkal Energy Services Ltd 2028,,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,20/07/2028,2.60%,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,7.89% Bajaj Housing Finance Ltd 14/07/2034,1.80%,"6,873.25",
15,tbl_0,Generali Central Life Insurance Fund,FUTURE INCOME FUND,7.68% PFC Ltd 15/07/2030,0.44%,"6,873.25",


16,tbl_0,Generali Central Life Insurance Fund,FUTURE SECURE FUND,PORTFOLIO AS ON 27-Feb-2026,,980.26,
16,tbl_0,Generali Central Life Insurance Fund,FUTURE SECURE FUND,SECURITIES,HOLDINGS,980.26,
16,tbl_0,Generali Central Life Insurance Fund,FUTURE SECURE FUND,MONEY MARKET INSTRUMENTS & NCA,28.04%,980.26,
16,tbl_0,Generali Central Life Insurance Fund,FUTURE SECURE FUND,SECURITIES,HOLDINGS,980.26,
16,tbl_0,Generali Central Life Insurance Fund,FUTURE SECURE FUND,GOVERNMENT SECURITIES,71.96%,980.26,
16,tbl_0,Generali Central Life Insurance Fund,FUTURE SECURE FUND,0% CS 12/12/2029,16.39%,980.26,
16,tbl_0,Generali Central Life Insurance Fund,FUTURE SECURE FUND,0% CS 15/062030,15.17%,980.26,
16,tbl_0,Generali Central Life Insurance Fund,FUTURE SECURE FUND,0% Gs 15 Dec 2027,11.09%,980.26,
16,tbl_0,Generali Central Life Insurance Fund,FUTURE SECURE FUND,0% CS 17/12/2027,9.24%,980.26,
16,tbl_0,Generali Central Life Insurance Fund,FUTURE SECURE FUND,0% CS 19/12/2029,6.97%,980.26,
16,tbl_0,Generali Central Life Insurance Fund,FUTURE SECURE FUND,0% CS 19/12/2030,6.80%,980.26,
16,tbl_0,Generali Central Life Insurance Fund,FUTURE SECURE FUND,7.10% GOI Sovereign Green Bond 27/01/2028,5.26%,980.26,
16,tbl_0,Generali Central Life Insurance Fund,FUTURE SECURE FUND,7.64% MH SGS 25/01/2033,1.04%,980.26,


17,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION SECURE FUND,PORTFOLIO AS ON 27-Feb-2026,,15.88,
17,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION SECURE FUND,SECURITIES,HOLDINGS,15.88,
17,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION SECURE FUND,MONEY MARKET INSTRUMENTS & NCA,12.55%,15.88,
17,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION SECURE FUND,SECURITIES,HOLDINGS,15.88,
17,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION SECURE FUND,GOVERNMENT SECURITIES,87.45%,15.88,
17,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION SECURE FUND,0% CS 19/12/2030,32.65%,15.88,
17,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION SECURE FUND,6.90% Gsec 15/04/2065,29.49%,15.88,
17,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION SECURE FUND,8.51% MH SDL 09/03/2026,18.90%,15.88,
17,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION SECURE FUND,7.25% Guj SDL 12/07/2027,6.40%,15.88,
17,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION SECURE FUND,SECURITIES,HOLDINGS,15.88,
17,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION SECURE FUND,CORPORATE DEBT,0.00%,15.88,


