page,table,mutual_fund_name,main_scheme_name,portfolio_data_0,portfolio_data_1,monthly_aaum_value,empty_col
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Nagarjuna Construction Co. Ltd,2.69%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Equitas Small Finance Bank Ltd,2.65%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Northern Arc Capital Ltd,2.63%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,PB FINTECH Ltd,2.52%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Hindustan Petroleum Corporation Ltd,2.48%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Genus Power Infrastrucure Ltd,2.43%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Aurobindo Pharma Ltd,2.18%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Manappuram Finance Ltd,2.15%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Apollo Tyres Ltd,2.03%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Creditaccess Grameen Ltd,1.99%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Max Healthcare Institute Ltd,1.88%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Punjab National Bank,1.85%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Others,28.60%,"3,572.13",


7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,PORTFOLIO AS ON 27-Feb-2026,,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,SECURITIES,HOLDINGS,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,MONEY MARKET INSTRUMENTS & NCA,0.29%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,SECURITIES,HOLDINGS,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,EQUITY,99.71%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,HDFC Bank Ltd,6.68%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,ICICI Bank Ltd,5.62%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,Reliance Industries Ltd,5.17%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,Infosys Technologies Ltd.,3.66%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,ICICI Prudential Nifty Bank ETF - NIFTY BANK INDEX,3.26%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,Tata Consultancy Services Ltd,3.25%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,State Bank of India,2.80%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,Axis Bank Ltd,2.78%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,ITC Ltd,2.38%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,Fusion Finance Ltd,2.03%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,UTI Nifty Bank ETF,1.98%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,Kotak Mahindra Bank Ltd,1.94%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,SBI-ETF Nifty Bank,1.84%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,Wipro Ltd,1.73%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,UltraTech Cement Ltd,1.70%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,Hindustan Petroleum Corporation Ltd,1.64%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,Bharti Airtel Ltd. (Partly Paid),1.60%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,Nagarjuna Construction Co. Ltd,1.58%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,ETERNAL Ltd (Zomato Ltd),1.58%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,Genus Power Infrastrucure Ltd,1.56%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,Mahindra And Mahindra Ltd,1.54%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,PB FINTECH Ltd,1.49%,"13,008.32",
7,tbl_0,Generali Central Life Insurance Fund,FUTURE APEX FUND,Swiggy Ltd,1.40%,"13,008.32",
