,Scheme_Name,Benchmark,RegularPercent,DirectPercent,mfId,date
0,Aditya Birla Sun Life CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund,CRISIL IBX 50:50 Gilt Plus SDL Index - April 2028,0.65,0.65,3,01-jan-2024
1,Aditya Birla Sun Life CRISIL IBX 60:40 SDL+ AAA PSU Apr 2026 Index Fund,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2026,0.38,0.38,3,01-jan-2024
2,Aditya Birla Sun Life CRISIL IBX 60:40 SDL+AAA PSU-Apr 2025 Index Fund,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2025,0.24,0.24,3,01-jan-2024
3,Aditya Birla Sun Life CRISIL IBX 60:40 SDL+AAA PSU-Apr 2027 Index Fund,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2027,0.5,0.5,3,01-jan-2024
4,Aditya Birla Sun Life CRISIL IBX AAA Mar 2024 Index Fund,CRISIL IBX AAA Index - March 2024,0.17,0.17,3,01-jan-2024
5,Aditya Birla Sun Life CRISIL IBX Gilt -Apr 2029 Index Fund,CRISIL IBX Gilt Index - April 2029,0.36,0.36,3,01-jan-2024
6,Aditya Birla Sun Life CRISIL IBX Gilt Apr 2028 Index Fund,CRISIL IBX Gilt Index - April 2028,0.37,0.37,3,01-jan-2024
7,Aditya Birla Sun Life CRISIL IBX GILT APRIL 2033 INDEX FUND,CRISIL IBX Gilt Index - April 2033,0.45,0.46,3,01-jan-2024
8,Aditya Birla Sun Life CRISIL IBX Gilt-April 2026 Index Fund,CRISIL IBX Gilt Index - April 2026,0.95,0.95,3,01-jan-2024
9,Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 Index Fund,CRISIL IBX SDL Index - June 2032,1.35,1.35,3,01-jan-2024
10,Aditya Birla Sun Life CRISIL Liquid Overnight ETF,CRISIL Liquid Overnight Index,0.01,,3,01-jan-2024
11,Aditya Birla Sun Life Gold ETF,Domestic Price of Gold,0.23,,3,01-jan-2024
12,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,Nifty 200 Momentum 30 Total Return Index,0.18,,3,01-jan-2024
