Sector,Que. No.,Question,Helpful Key Point,Type
Social,Q789,What are the number of days of accounts payable?,,Number
Social,Q801,What is the sales to dealers / distributors as % of total sales?,,Number
Social,Q803,What is the sales to top 10 dealers / distributors as % of total sales to dealers / distributors?,,Number
Social,Q1195,% of data breaches involving PII data of customers,,Number
Social,Q774,Share of buildings that are certified according to international building standards/ GRESB/IGBC?,,Boolean
Governance,Q1001,Percentage of Independent Directors on the board ,,Number
Governance,Q1060,Number of Independent women directors on the board,,Number
Governance,Q1059,Number of women directors on the board,,Number
Governance,Q1109,Average attendance for Board meeting in the current FY,,Number
Governance,Q1007,Number of Directorships of all board members,,Number
Governance,Q1136,Number of Directors against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/ corruption,,Number
Governance,Q1149,Number of complaints received in relation to issues of Conflict of Interest of the Directors / KMPs,,Number
Governance,Q1003,Percentage of independent directors in Nomination and Remuneration Committee,,Number
Governance,Q1004,Percentage of independent directors in Audit Committee,,Number
Governance,Q1082,Number of independent directors in Risk Management Committee,,Number
Governance,Q1089,Number of independent directors in CSR Committee,,Number
Governance,Q1096,Percentage of subject matter experts appointed in the Audit Committee,,Number
Governance,Q1021,Ratio of remuneration of MD / CEO to median remuneration of Employees,,Number
Governance,Q1031,Percentage of non-audit fees as compared to total audit fees,,Number
Governance,Q1102,Number of whistle blower complaints filed in the current year,,Number
Governance,Q1150,Number of pending consumer compliant on unfair trade practices,,Number
Governance,Q721,Number of Employees against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/ corruption,,Number
Governance,Q722,Number of Workers against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/ corruption,,Number
Governance,Q1171,What is the share of RPTs (as respective %age) in Purchases?,,Number
Governance,Q1172,What is the Share of RPTs (as respective %age) in Sales?,,Number
Governance,Q1173,What is the Share of RPTs (as respective %age) in Loans & Advances?,,Number
Governance,Q1174,What is the Share of RPTs (as respective %age) in Investments?,,Number
Environment,Q7,Are there any initiatives towards reduction in GHG Emissions?,Gas emission,Boolean
Environment,Q276,What are the total VOC / POP / HAP emissions for the Current Year (Unit: Metric Tonne)?,VOC / POP / HAP,Number
Environment,Q92,"What are the initaitives taken to reduce the Nox, Sox, PM, VOC, HAP and POP  air emissions?",air emissions,Boolean
Environment,Q100,Does the company have facilities/ operations in water stress regions?,water stress,Boolean
Environment,Q43,Has the entity implemented mechanism for Zero Liquid Discharge?,Zero Liquid,Boolean
Environment,Q190,Third-party verification of water data,disclosures related to water,Boolean
Environment,Q13,What are the goals/ targets/ commitments towards Energy Consumption?,Energy Consumption,Boolean
Environment,Q271,"Does the entity have any sites/facilities identified as designated consumers (DCs) under the Performance, Achieve and Trade (PAT) Scheme of the Government of India? (Y/N) If yes, disclose whether targets set under the PAT scheme have been achieved. In case targets have not been achieved, provide the remedial action taken, if any.",Designated Consumers,Boolean
Environment,Q49,Is there a disclosure regarding the energy management system? ISO 50001 Certification (Energy Management),ISO 50001,Boolean
Environment,Q34,Waste management practices and strategies to reduce usage of hazardous and toxic chemicals from the products and processes,Waste management,Boolean
Environment,Q38,"What are the processes to safely reclaim the products for reusing, recycling, and disposing at the end of life, for (a) Plastics (including packaging) (b) e-waste (c) hazardous waste and (d) other waste?",Safely Reclaim,Boolean
Environment,Q128,"Whether Extended Producer Responsibility (EPR) is applicable to the entity’s activities (Yes / No). If yes, whether the waste collection plan is in line with the Extended Producer Responsibility (EPR) plan submitted to Pollution Control Boards?",Extended Producer Responsibility,Boolean
Environment,Q187,Third-party verification of waste data,Waste Management,Boolean
Environment,Q74,Is there presence of offices / manufacturing facilities in ecologically sensitive areas?,Ecologically,Boolean
Environment,Q118,Provide details of significant direct & indirect impact of the entity on biodiversity in ecological sensitive areas along-with prevention and remediation activities,Sensitive areas,Boolean
Environment,Q79,Does the company have a Biodiversity policy?,Biodiversity policy,Boolean
Environment,Q209,Does the company's policy on Biodiversity extend to its value chain partners? (Yes/No),Biodiversity policy,Boolean
Environment,Q82,Does the company take initiatives with regards to its Biodiversity conservation/ land rehabilitation and biodiversity restoration?,Biodiversity policy,Boolean
Environment,Q5,Are there any goals/ targets/ commitments set towards carbon neutrality/ Net zero?,Carbon Neutrality,Boolean
Environment,Q1114,Does the organisation report on CDP Disclosure as per Climate Change Module,"Carbon disclosure project, CDP ",Boolean
Environment,Q110,"Does the company perform climate related scenario analysis (based on TCFD Framework); Based on the climate risk assessment, has the company set up a plan to adapt to the identified physical climate risks? ","TCFD, Task force, Climate risk assessment ",Boolean
Environment,Q47,Presence of ISO 14001:2015 certification,ISO 14001,Boolean
Environment,Q95,Does the entity implement carbon pricing mechanism/model?,carbon pricing,Boolean
Environment,Q186,Does the company have a policy on environmental management and is it available publicly?,"Sustainability policy, Sustainability Guidelines, ESG Policy, Environment policy etc",Boolean
Environment,Q68,"Is the entity compliant with the applicable environmental law/ regulations/ guidelines in India; such as the Water (Prevention and Control of Pollution) Act, Air (Prevention and Control of Pollution) Act, Environment protection act and rules thereunder (Y/N). If not, provide details of all such non-compliances","Environmental law, entity compliant, pollution, prevention and control of pollution ",Boolean
Environment,Q116,Does the company have a strategy for climate change adaptation and mitigation?,climate Change,Boolean
