Sector,Que. No.,Question,Helpful Key Point,Type
Governance,Q1022,Is there a claw-back mechanism/ policy for Senior Management / KMP?,-,Boolean
Governance,Q1158,Is the independent director paid commissions / incentives other than board sitting fees,-,Boolean
Governance,Q1147,Is the variable pay of executives linked to sustainability or ESG parameters?,-,Boolean
Governance,Q1033,Does the company have a policy for the appointment or re-appointment of auditors?,-,Boolean
Governance,Q1192,Discontinuation of the auditors before end of term,-,Boolean
Governance,Q1027,Does the entity have a whistleblower Policy?,-,Boolean
Governance,Q1159,Is the whistleblower Policy applicable to value chain (suppliers)?,-,Boolean
Governance,Q1026,Does the entity have an Anti-Corruption or Anti-Bribery Policy?,-,Boolean
Governance,Q1140,Does a company have code of conduct policy?,-,Boolean
Governance,Q1141,Does the company have a policy on Anti-Money-laundering and/or insider trading/dealing?,-,Boolean
Governance,Q1042,"Does the company provide training on code of conduct, anti-corruption and anti bribery policies to the employees?",-,Boolean
Governance,Q1191,How does the company ensure that the minority shareholders effectively protect their interest and rights within company?,-,Boolean
Governance,Q1101,Has the company undergone any fines / penalties /punishment/ award/ compounding fees/ settlement amount paid in proceedings with regulators/ law enforcement agencies/ judicial institution during the financial year?,-,Boolean
Governance,Q1032,Does the company implement a comprehensive framework or Enterprise Risk Management Framework?,-,Boolean
Governance,Q1138,"Has the Company taken any corrective action or underway on any issues related to anti-competitive conduct, based on adverse orders from regulatory authorities?  If yes, provide details.",-,Boolean
Governance,Q1177,Does the entity have a business continuity and disaster management plan?,-,Boolean
Governance,Q1034,Does the company have ESG or Sustainability or BRSR policy?,-,Boolean
Governance,Q1038,Does the company perform materiality assessment and identify material ESG issues?,-,Boolean
Governance,Q1035,Does the company conduct assurance for its ESG or sustainability data through a third party or external agency?,-,Boolean
Governance,Q1144,Does the company conduct assurance for its supplier's (value chain) ESG or sustainability data through a third party or external agency?,-,Boolean
Governance,Q1131,Does the company have a highest authority responsible for implementation and oversight of the Business Responsibility policy (ies) and ESG policy?,-,Boolean
Governance,Q1132,Does the company have a specified Committee of the Board/ Director responsible for decision making on sustainability related issues? (Yes / No),-,Boolean
Governance,Q1193,Were there any promoter-sponsored resolutions that were defeated during the current fiscal year?,-,Boolean
Governance,Q1036,Does the company follow GRI standards?,-,Boolean
Governance,Q1037,Is the company aligned with SDGs? Does the company set targets according to SDGs?,-,Boolean
Governance,Q1133,Is your company a signatory/participant of the United Nations Global Compact?,-,Boolean
Governance,Q1134,Does the Company have affiliations with trade and industry chambers/ associations?,-,Boolean
Governance,Q1135,"Has the company advocated any public policy positions? If yes, provide details.",-,Boolean
Governance,Q1176,Does the company disclose ESG engagement with investee company,-,Boolean
Governance,Q1047,Does the entity have Stewardship Code?,-,Boolean
Governance,Q1008,Is there a policy on Related party transactions?,-,Boolean
Governance,Q1009,Disclosure of transactions with Related Parties during the year which are more than 10% of Revenue,-,Boolean
