mutual_fund_name,main_scheme_name,sfin,monthly_aum_value,aum_in_mil,portfolio_data_0,portfolio_data_1,page,table
SBI Life Insurance Fund,TOP 300 FUND,ULIF016070110TOP300-FND111),"1,980.69",,3 Reliance Industries Ltd.,6.42%,11,tbl_0
SBI Life Insurance Fund,TOP 300 FUND,ULIF016070110TOP300-FND111),"1,980.69",,4 Infosys Limited,3.39%,11,tbl_0
SBI Life Insurance Fund,TOP 300 FUND,ULIF016070110TOP300-FND111),"1,980.69",,5 Bharti Airtel Ltd.,3.31%,11,tbl_0
SBI Life Insurance Fund,TOP 300 FUND,ULIF016070110TOP300-FND111),"1,980.69",,6 Axis Bank Ltd.,3.16%,11,tbl_0
SBI Life Insurance Fund,TOP 300 FUND,ULIF016070110TOP300-FND111),"1,980.69",,7 Mahindra & Mahindra Ltd.,2.66%,11,tbl_0
SBI Life Insurance Fund,TOP 300 FUND,ULIF016070110TOP300-FND111),"1,980.69",,8 Bajaj Finance Limitedfv-2Fv-1,2.33%,11,tbl_0
SBI Life Insurance Fund,TOP 300 FUND,ULIF016070110TOP300-FND111),"1,980.69",,9 Kotak Mahindra Bank Ltd. Fv-1,2.11%,11,tbl_0
SBI Life Insurance Fund,TOP 300 FUND,ULIF016070110TOP300-FND111),"1,980.69",,Larsen & Toubro Ltd.,2.07%,11,tbl_0
SBI Life Insurance Fund,TOP 300 FUND,ULIF016070110TOP300-FND111),"1,980.69",,Others,37.55%,11,tbl_0
SBI Life Insurance Fund,TOP 300 FUND,ULIF016070110TOP300-FND111),"1,980.69",,Total,78.70%,11,tbl_0
SBI Life Insurance Fund,TOP 300 FUND,ULIF016070110TOP300-FND111),"1,980.69",,Money Market,21.30%,11,tbl_0
SBI Life Insurance Fund,TOP 300 FUND,ULIF016070110TOP300-FND111),"1,980.69",,Grand Total,100%,11,tbl_0


SBI Life Insurance Fund,PE MANAGED FUND,ULIF021080910P/EMNGDFND111),.00 215.19,,ASSET CATEGORY,,12,tbl_0
SBI Life Insurance Fund,PE MANAGED FUND,ULIF021080910P/EMNGDFND111),.00 215.19,,Equity,% of AUM,12,tbl_0
SBI Life Insurance Fund,PE MANAGED FUND,ULIF021080910P/EMNGDFND111),.00 215.19,,1 Reliance Industries Ltd.,4.90%,12,tbl_0
SBI Life Insurance Fund,PE MANAGED FUND,ULIF021080910P/EMNGDFND111),.00 215.19,,2 ICICI Bank Ltd,4.57%,12,tbl_0
SBI Life Insurance Fund,PE MANAGED FUND,ULIF021080910P/EMNGDFND111),.00 215.19,,3 HDFC Bank Ltd.,3.14%,12,tbl_0
SBI Life Insurance Fund,PE MANAGED FUND,ULIF021080910P/EMNGDFND111),.00 215.19,,4 Bharti Airtel Ltd.,2.28%,12,tbl_0
SBI Life Insurance Fund,PE MANAGED FUND,ULIF021080910P/EMNGDFND111),.00 215.19,,5 Larsen & Toubro Ltd.,1.85%,12,tbl_0
SBI Life Insurance Fund,PE MANAGED FUND,ULIF021080910P/EMNGDFND111),.00 215.19,,6 Axis Bank Ltd.,1.52%,12,tbl_0
SBI Life Insurance Fund,PE MANAGED FUND,ULIF021080910P/EMNGDFND111),.00 215.19,,7 Kotak PSU Bank ETF,1.50%,12,tbl_0
SBI Life Insurance Fund,PE MANAGED FUND,ULIF021080910P/EMNGDFND111),.00 215.19,,8 Tata Consultancy Services Ltd.,1.47%,12,tbl_0
SBI Life Insurance Fund,PE MANAGED FUND,ULIF021080910P/EMNGDFND111),.00 215.19,,9 Ask Automotive Ltd,1.09%,12,tbl_0
SBI Life Insurance Fund,PE MANAGED FUND,ULIF021080910P/EMNGDFND111),.00 215.19,,Trent Ltd.,1.09%,12,tbl_0
SBI Life Insurance Fund,PE MANAGED FUND,ULIF021080910P/EMNGDFND111),.00 215.19,,Others,19.29%,12,tbl_0
SBI Life Insurance Fund,PE MANAGED FUND,ULIF021080910P/EMNGDFND111),.00 215.19,,Total,42.71%,12,tbl_0
SBI Life Insurance Fund,PE MANAGED FUND,ULIF021080910P/EMNGDFND111),.00 215.19,,1 Corporate Debt,% of AUM,12,tbl_0
SBI Life Insurance Fund,PE MANAGED FUND,ULIF021080910P/EMNGDFND111),.00 215.19,,Total,0.00%,12,tbl_0
SBI Life Insurance Fund,PE MANAGED FUND,ULIF021080910P/EMNGDFND111),.00 215.19,,Government Securities,% of AUM,12,tbl_0
SBI Life Insurance Fund,PE MANAGED FUND,ULIF021080910P/EMNGDFND111),.00 215.19,,1 7.18% GOI CG 14-08-2033,7.19%,12,tbl_0
SBI Life Insurance Fund,PE MANAGED FUND,ULIF021080910P/EMNGDFND111),.00 215.19,,Total,7.19%,12,tbl_0
SBI Life Insurance Fund,PE MANAGED FUND,ULIF021080910P/EMNGDFND111),.00 215.19,,Money Market,50.10%,12,tbl_0
SBI Life Insurance Fund,PE MANAGED FUND,ULIF021080910P/EMNGDFND111),.00 215.19,,Grand Total,100%,12,tbl_0


SBI Life Insurance Fund,EQUITY ELITE FUND,ULIF012250208EQTYELTFND111),12.59,125.9,ASSET CATEGORY,,13,tbl_0
SBI Life Insurance Fund,EQUITY ELITE FUND,ULIF012250208EQTYELTFND111),12.59,125.9,Equity,% of AUM,13,tbl_0
SBI Life Insurance Fund,EQUITY ELITE FUND,ULIF012250208EQTYELTFND111),12.59,125.9,1 HDFC Bank Ltd.,6.21%,13,tbl_0
SBI Life Insurance Fund,EQUITY ELITE FUND,ULIF012250208EQTYELTFND111),12.59,125.9,2 Reliance Industries Ltd.,6.20%,13,tbl_0
SBI Life Insurance Fund,EQUITY ELITE FUND,ULIF012250208EQTYELTFND111),12.59,125.9,3 Nippon India ETF Bank Bees,5.95%,13,tbl_0
SBI Life Insurance Fund,EQUITY ELITE FUND,ULIF012250208EQTYELTFND111),12.59,125.9,4 ICICI Bank Ltd,5.80%,13,tbl_0
SBI Life Insurance Fund,EQUITY ELITE FUND,ULIF012250208EQTYELTFND111),12.59,125.9,5 Kotak Banking Etffv-1,5.01%,13,tbl_0
SBI Life Insurance Fund,EQUITY ELITE FUND,ULIF012250208EQTYELTFND111),12.59,125.9,6 Bharti Airtel Ltd.,4.48%,13,tbl_0
SBI Life Insurance Fund,EQUITY ELITE FUND,ULIF012250208EQTYELTFND111),12.59,125.9,7 Larsen & Toubro Ltd.,4.08%,13,tbl_0
SBI Life Insurance Fund,EQUITY ELITE FUND,ULIF012250208EQTYELTFND111),12.59,125.9,8 Infosys Limited,3.10%,13,tbl_0
SBI Life Insurance Fund,EQUITY ELITE FUND,ULIF012250208EQTYELTFND111),12.59,125.9,9 Mahindra & Mahindra Ltd.,2.97%,13,tbl_0
SBI Life Insurance Fund,EQUITY ELITE FUND,ULIF012250208EQTYELTFND111),12.59,125.9,Bajaj Finance Limitedfv-2Fv-1,2.37%,13,tbl_0
SBI Life Insurance Fund,EQUITY ELITE FUND,ULIF012250208EQTYELTFND111),12.59,125.9,Others,37.99%,13,tbl_0
SBI Life Insurance Fund,EQUITY ELITE FUND,ULIF012250208EQTYELTFND111),12.59,125.9,Total,84.16%,13,tbl_0
SBI Life Insurance Fund,EQUITY ELITE FUND,ULIF012250208EQTYELTFND111),12.59,125.9,Corporate Debt,% of AUM,13,tbl_0
SBI Life Insurance Fund,EQUITY ELITE FUND,ULIF012250208EQTYELTFND111),12.59,125.9,1,,13,tbl_0
SBI Life Insurance Fund,EQUITY ELITE FUND,ULIF012250208EQTYELTFND111),12.59,125.9,2,,13,tbl_0
SBI Life Insurance Fund,EQUITY ELITE FUND,ULIF012250208EQTYELTFND111),12.59,125.9,Total,0.00%,13,tbl_0
SBI Life Insurance Fund,EQUITY ELITE FUND,ULIF012250208EQTYELTFND111),12.59,125.9,Money Market,15.84%,13,tbl_0
SBI Life Insurance Fund,EQUITY ELITE FUND,ULIF012250208EQTYELTFND111),12.59,125.9,Grand Total,100%,13,tbl_0


SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,ASSET CATEGORY,,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,Equity,% of AUM,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,1 HDFC Bank Ltd.,7.06%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,2 ICICI Bank Ltd,6.30%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,3 Reliance Industries Ltd.,5.19%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,4 Bharti Airtel Ltd.,4.17%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,5 Larsen & Toubro Ltd.,3.56%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,6 Infosys Limited,3.20%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,7 Mahindra & Mahindra Ltd.,2.51%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,8 Axis Bank Ltd.,2.39%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,9 Bajaj Finance Limitedfv-2Fv-1,1.95%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,Nippon India Nifty Psu Bank Bees,1.87%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,Others,43.60%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,Total,81.80%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,Corporate Debt,% of AUM,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,1 7.35% Bharti Telecom Limited B & D 15-10-2027 Xxv,1.64%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,2 7.59% REC LIMITED B & D 31-05-2027 232-A,1.45%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,3 6.47% IRFC B & D 30-05-2028 191-A,1.22%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,4 7.99% Mankind Pharma Ltd. B & D 16-10-2026,0.83%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,5 9.00% Bharti Telecom Limited B & D 04-12-2028 XVIII,0.81%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,6 7.44% PFC B & D 15-01-2030 247 A,0.62%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,7 8.10% Bajaj Finance Limited B & D 08-01-2027 288-II,0.62%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,8 7.60% Torrent Pharmaceuticals Limited B & D 19-01-2029 Ii,0.62%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,9 7.35% Sundaram Fin B & D 23-04-2027 Z 1,0.62%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,7.3763% Bajaj Finance Limited B & D 26-06-2028 289 Trn-20 Opt Ii,0.62%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,Others,5.11%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,Total,14.14%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,Government Securities,% of AUM,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,1 0.00% GOI FRB_Gsec 04-10-2028,1.24%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,2 6.79% GOI CG 07-10-2034,0.26%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,3 7.18% GOI CG 14-08-2033,0.21%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,4 6.67% GOI CG 15-12-2035,0.12%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,5 7.10% GOI CG 08-04-2034,0.02%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,6,,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,7,,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,Total,1.86%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,Money Market,2.20%,14,tbl_0
SBI Life Insurance Fund,EQUITY ELITE II FUND,ULIF019100210EQTELI2FND111),"12,181.80",,Grand Total,100%,14,tbl_0


SBI Life Insurance Fund,EQUITY PENSION FUND,ULIF006150107PEEQITYFND111),"11,842.06",,ASSET CATEGORY,,15,tbl_0
SBI Life Insurance Fund,EQUITY PENSION FUND,ULIF006150107PEEQITYFND111),"11,842.06",,Equity,% of AUM,15,tbl_0
SBI Life Insurance Fund,EQUITY PENSION FUND,ULIF006150107PEEQITYFND111),"11,842.06",,1 ICICI Bank Ltd,7.00%,15,tbl_0
SBI Life Insurance Fund,EQUITY PENSION FUND,ULIF006150107PEEQITYFND111),"11,842.06",,2 HDFC Bank Ltd.,6.78%,15,tbl_0
SBI Life Insurance Fund,EQUITY PENSION FUND,ULIF006150107PEEQITYFND111),"11,842.06",,3 Reliance Industries Ltd.,6.35%,15,tbl_0
SBI Life Insurance Fund,EQUITY PENSION FUND,ULIF006150107PEEQITYFND111),"11,842.06",,4 Infosys Limited,3.62%,15,tbl_0
SBI Life Insurance Fund,EQUITY PENSION FUND,ULIF006150107PEEQITYFND111),"11,842.06",,5 Larsen & Toubro Ltd.,3.48%,15,tbl_0
SBI Life Insurance Fund,EQUITY PENSION FUND,ULIF006150107PEEQITYFND111),"11,842.06",,6 Axis Bank Ltd.,2.95%,15,tbl_0
SBI Life Insurance Fund,EQUITY PENSION FUND,ULIF006150107PEEQITYFND111),"11,842.06",,7 Mahindra & Mahindra Ltd.,2.92%,15,tbl_0
SBI Life Insurance Fund,EQUITY PENSION FUND,ULIF006150107PEEQITYFND111),"11,842.06",,8 Bharti Airtel Ltd.,2.91%,15,tbl_0
SBI Life Insurance Fund,EQUITY PENSION FUND,ULIF006150107PEEQITYFND111),"11,842.06",,9 Kotak Mahindra Bank Ltd. Fv-1,2.16%,15,tbl_0
SBI Life Insurance Fund,EQUITY PENSION FUND,ULIF006150107PEEQITYFND111),"11,842.06",,Bajaj Finance Limitedfv-2Fv-1,2.11%,15,tbl_0
SBI Life Insurance Fund,EQUITY PENSION FUND,ULIF006150107PEEQITYFND111),"11,842.06",,Others,57.06%,15,tbl_0
SBI Life Insurance Fund,EQUITY PENSION FUND,ULIF006150107PEEQITYFND111),"11,842.06",,Total,97.35%,15,tbl_0
SBI Life Insurance Fund,EQUITY PENSION FUND,ULIF006150107PEEQITYFND111),"11,842.06",,Corporate Debt,% of AUM,15,tbl_0
SBI Life Insurance Fund,EQUITY PENSION FUND,ULIF006150107PEEQITYFND111),"11,842.06",,1 SBI Liquid Fund - Direct Plan - Growth,0.18%,15,tbl_0
SBI Life Insurance Fund,EQUITY PENSION FUND,ULIF006150107PEEQITYFND111),"11,842.06",,Total,0.18%,15,tbl_0
SBI Life Insurance Fund,EQUITY PENSION FUND,ULIF006150107PEEQITYFND111),"11,842.06",,Money Market,2.48%,15,tbl_0
SBI Life Insurance Fund,EQUITY PENSION FUND,ULIF006150107PEEQITYFND111),"11,842.06",,Grand Total,100%,15,tbl_0


SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,ASSET CATEGORY,,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,Corporate Debt,% of AUM,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,1 8.05% Tata Capital Housing Finance Limited B & D 18-06-2029 A,4.80%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,2 7.71% LIC Housing Fin B & D 09-05-2033 433,4.76%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,3 7.70% Bajaj Finance Limited B & D 04-10-2034,4.72%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,4 7.45% Bharti Telecom Limited B & D 15-12-2028 Xxvi,4.71%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,5 7.65% Poonawalla Fincorp Limited B & D 19-06-2028 B1,4.70%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,6 7.97% HDFC Bank B & D 17-02-2033 Ab-002,2.90%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,7 7.90% Torrent Investments Limited B & D 19-08-2028 I,2.85%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,8 7.83% Cholamandalam Investment & Finance Company Limited B & D 28-06-20,2.83%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,9 7.75% HDFC Bank B & D 13-06-2033 Us-006,1.92%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,7.05% PFC B & D 09-08-2030 205-A,1.87%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,Others,2.90%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,Total,38.97%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,Government Securities,% of AUM,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,1 6.48% Goi Cg 06-10-2035,18.62%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,2 6.68% Goi Cg 07-07-2040,10.03%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,3 7.60% Tamil Nadu Sdl 19-08-2032 Sgs,4.84%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,4 7.25% GOI CG 12-06-2063,4.62%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,5 6.90% Goi Cg 15-04-2065,4.19%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,6 7.54% GOI CG 23-05-2036,3.99%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,7 7.34% GOI CG 22-04-2064,3.18%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,8 7.45% Maharashtra SDL 20-03-2037,1.90%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,9 6.33% Goi Cg 05-05-2035,1.85%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,7.72% Goi Cg 26-10-2055,0.22%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,Others,0.51%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,Total,53.96%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,Money Market,7.07%,16,tbl_0
SBI Life Insurance Fund,BOND PENSION FUND,ULIF007160107PENBONDFND111),529.96,5299.6,Grand Total,100%,16,tbl_0


SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,ASSET CATEGORY,,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,Equity,% of AUM,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,1 HDFC Bank Ltd.,6.09%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,2 ICICI Bank Ltd,5.99%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,3 Reliance Industries Ltd.,3.26%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,4 Axis Bank Ltd.,2.98%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,5 Infosys Limited,2.49%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,6 Bharti Airtel Ltd.,1.83%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,7 Mahindra & Mahindra Ltd.,1.77%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,8 Tata Steel Ltd.,1.60%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,9 Kotak Mahindra Bank Ltd. Fv-1,1.50%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,Maruti Suzuki India Ltd,1.39%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,Others,38.36%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,Total,67.27%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,Corporate Debt,% of AUM,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,1 7.08% Bajaj Housing Finance Limited B & D 12-06-2030 32 Trn 10 Opt I,3.92%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,2 6.85% Nabard B & D 19-01-2029 26 B,1.57%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,3 7.61% LIC Housing Fin B & D 29-08-2034,0.96%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,4 8.40% IRFC B & D 08-01-2029 130,0.49%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,5 7.95% LIC Housing Fin B & D 29-01-2028 359,0.48%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,6 7.17% IRFC B & D 27-04-2035 188,0.47%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,7 7.97% HDFC Bank B & D 17-02-2033 Ab-002,0.32%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,8 8.70% REC Limited B & D 28-09-2028 GOI-IV,0.26%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,9 7.97% MANKIND PHARMA LTD. B & D 16-11-2027,0.24%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,7.49% IRFC B & D 30-05-2027 120,0.16%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,Total,8.88%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,Government Securities,% of AUM,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,1 7.10% GOI CG 08-04-2034,6.66%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,2 6.79% GOI CG 07-10-2034,4.15%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,3 6.48% Goi Cg 06-10-2035,3.12%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,4 6.90% Goi Cg 15-04-2065,1.33%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,5 7.25% GOI CG 12-06-2063,1.08%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,6 7.34% GOI CG 22-04-2064,0.78%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,7 7.23% Goi Cg 15-04-2039,0.65%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,8 7.46% GOI CG 06-11-2073,0.48%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,9 8.28% Tamil Nadu SDL 21-02-2028,0.23%,17,tbl_0
SBI Life Insurance Fund,GROWTH PENSION FUND,ULIF008150207PEGRWTHFND111),632.06,6320.6,7.26% GOI CG 06-02-2033,0.19%,17,tbl_0
