mutual_fund_name,main_scheme_name,sfin,monthly_aum_value,aum_in_mil,portfolio_data_0,portfolio_data_1,page,table
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,7 7.51% Karnataka Sdl 07-07-2036 Sgs,1.11%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,8 7.50% Tamil Nadu Sdl 14-01-2036 Sgs,0.75%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,9 7.30% GOI CG 19-06-2053,0.74%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,7.82% Madhya Pradesh Sdl 11-02-2042 Sgs,0.61%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,Others,3.43%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,Total,35.38%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,Money Market,4.46%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,Grand Total,100%,6,tbl_0


SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,ASSET CATEGORY,,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,Equity,% of AUM,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,1 HDFC Bank Ltd.,7.26%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,2 ICICI Bank Ltd,6.88%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,3 Reliance Industries Ltd.,4.91%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,4 Axis Bank Ltd.,3.26%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,5 Infosys Limited,3.12%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,6 Bharti Airtel Ltd.,3.10%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,7 Mahindra & Mahindra Ltd.,2.58%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,8 Tata Steel Ltd.,1.98%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,9 NTPCLimited,1.73%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,Maruti Others Total Suzuki India Ltd,37.26% 1.73%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,Corporate Debt,% 73.81% of AUM,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,1 7.56% Bajaj Housing Finance Limited B & D 04-10-2034 32 Trn - 5,1.71%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,2 6.85% Nabard B & D 19-01-2029 26 B,1.70%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,3 7.95% LIC Housing Fin B & D 21-02-2033 430,0.87%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,4 7.77% HDFC Bank B & D 28-06-2027 AA-008,0.86%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,5 7.61% LIC Housing Fin B & D 29-08-2034,0.76%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,6 7.95% LIC Housing Fin B & D 29-01-2028 359,0.59%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,7 8.05% NTPCLimited B & D 05-05-2026 Sr 60,0.52%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,8 7.17% IRFC B & D 27-04-2035 188,0.41%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,9 8.30% IRFC B & D 25-03-2029 134,0.35%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,7.97% Others Total HDFC Bank B & D 17-02-2033 Ab-002,0.35% 1.16%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,Government Securities,% 9.30% of AUM,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,1 7.18% GOI CG 24-07-2037,3.00%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,2 7.18% GOI CG 14-08-2033,2.47%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,3 6.79% GOI CG 07-10-2034,2.08%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,4 7.34% GOI CG 22-04-2064,1.22%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,5 6.48% Goi Cg 06-10-2035,1.02%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,6 6.83% Karnataka SDL 08-12-2031,0.85%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,7 7.25% GOI CG 12-06-2063,0.60%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,8 7.80% Tamil Nadu SDL 27-07-2032,0.53%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,9 7.50% GOI CG 10-08-2034,0.47%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,7.10% Others Total GOI CG 08-04-2034,0.36% 1.99%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,Money Market,14.61% 2.29%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,Grand Total,100%,7,tbl_0


SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,ASSET CATEGORY,,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,Equity,% of AUM,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,1 HDFC Bank Ltd.,4.78%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,2 ICICI Bank Ltd,4.30%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,3 Reliance Industries Ltd.,3.54%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,4 Bharti Airtel Ltd.,2.71%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,5 Larsen & Toubro Ltd.,2.43%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,6 Infosys Limited,2.10%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,7 Mahindra & Mahindra Ltd.,1.65%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,8 Axis Bank Ltd.,1.57%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,9 Bajaj Finance Limitedfv-2Fv-1,1.37%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,Aditya Birla Sun Life Nifty Bank ETF,1.24%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,Others,27.57%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,Total,53.25%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,Corporate Debt,% of AUM,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,1 7.65% Tata Steel B & D 21-02-2030,1.26%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,2 7.87% Bajaj Finance Limited B & D 08-02-2034 288 Trn-10 Opt I,0.99%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,3 7.20% Mindspace Business Parks Reit B & D 10-05-2030 Merit 12,0.83%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,4 8.03% Tata Steel B & D 27-02-2028,0.76%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,5 7.97% MANKIND PHARMA LTD. B & D 16-11-2027,0.73%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,6 8.78% MUTHOOT FINANCE LIMITED B & D 04-10-2029 38-A OPT I,0.73%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,7 7.66% Lic Housing Fin B & D 11-12-2029 451,0.72%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,8 7.65% National Bank For Financing Infrastructure & Development B & D 22-12-,0.65%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,9 7.44% PFC B & D 15-01-2030 247 A,0.57%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,7.75% LIC Housing Fin B & D 23-11-2027 353,0.57%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,Others,21.10%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,Total,28.91%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,Government Securities,% of AUM,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,1 6.68% Goi Cg 07-07-2040,4.41%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,2 6.48% Goi Cg 06-10-2035,1.88%,8,tbl_0
SBI Life Insurance Fund,BALANCED FUND,ULIF004051205BALANCDFND111),"21,159.61",,3 7.24% Goi Cg 18-08-2055,1.84%,8,tbl_0
