amc_name,main_scheme_name,mutual_fund_name,benchmark_index,monthly_aaum_date,monthly_aaum_value,scheme_launch_date,min_addl_amt,min_addl_amt_multiple,min_amt,min_amt_multiple,Riskometer_benchmark,Riskometer,page_number,entry,exit,alpha,arithmetic_mean_ratio,average_div_yield,average_pb,average_pe,avg_maturity,beta,correlation_ratio,downside_deviation,information_ratio,macaulay,mod_duration,port_turnover_ratio,r_squared_ratio,roe_ratio,sharpe,sortino_ratio,std_dev,tracking_error,treynor_ratio,upside_deviation,ytm,name_1,managing_fund_since_1,total_exp_1,qualification_1,name_2,managing_fund_since_2,total_exp_2,qualification_2,name_3,managing_fund_since_3,total_exp_3,qualification_3,name_4,managing_fund_since_4,total_exp_4,qualification_4,name_5,managing_fund_since_5,total_exp_5,qualification_5,name_6,managing_fund_since_6,total_exp_6,qualification_6,name_7,managing_fund_since_7,total_exp_7,qualification_7,name_8,managing_fund_since_8,total_exp_8,qualification_8,field_location
Quant Money Managers Limited,quant Dynamic Asset Allocation Fund,Quant Mutual Fund,['NIFTY 50 Hybrid Composite debt 50:50 Index'],20260831,870.53 Cr,20230412,,,500,0,,,89,,"if any: For redemptions switch outs (including SIP STP) within 15 days from the date of allotment of units, irrespective of the amount of investment: 1%. No exit load shall be applicable on switches from Regular Plan to Direct Plan and vice versa, under the same scheme.",,,,,,,1.80,,,,,,142,,,0.51,,,,,,,Sandeep Tandon,12 April 2023,33 Years,,Sameer Kate,03 February 2025,31 Years,,Sanjeev Sharma,12 April 2023,20 Years,,Ankit Pande,12 April 2023,16 Years,,Yug Tibrewal,06 March 2025,8 Years,,Varun Pattani,19 February 2025,5 Years,,Ayusha Kumbhat,19 February 2025,3 Years,,,,,,"{""amc_name"": ""89"", ""benchmark_index"": ""89"", ""count"": 29, ""fund_manager_managing_fund_since"": ""89"", ""fund_manager_name"": ""89"", ""fund_manager_qualification"": ""89"", ""fund_manager_total_exp"": ""89"", ""load_exit"": ""89"", ""main_scheme_name"": ""89"", ""metrics_beta"": ""89"", ""metrics_port_turnover_ratio"": ""89"", ""metrics_sharpe"": ""89"", ""min_addl_amt"": ""89"", ""min_addl_amt_multiple"": ""89"", ""min_amt"": ""89"", ""min_amt_multiple"": ""89"", ""monthly_aaum_date"": ""89"", ""monthly_aaum_value"": ""89"", ""mutual_fund_name"": ""89"", ""riskometer"": ""89"", ""riskometer_benchmark"": ""89"", ""scheme_launch_date"": ""89""}"
Quant Money Managers Limited,quant Focused Fund,Quant Mutual Fund,['NIFTY 500'],20260831,858.49 Cr,20080828,,,500,0,,,93,,"if any: For redemptions switch outs (including SIP STP) within 15 days from the date of allotment of units, irrespective of the amount of investment: 1%. No exit load shall be applicable on switches from Regular Plan to Direct Plan and vice versa, under the same scheme.",,,,,,,1.16,,,0.26,,,195,,,0.43,,,,,,,Sandeep Tandon,03 February 2025,33 Years,,Jignesh Shah,20 February 2026,33 Years,,Sameer Kate,06 March 2025,31 Years,,Sanjeev Sharma,03 October 2019,20 Years,,Ankit Pande,10 May 2020,16 Years,,Yug Tibrewal,06 March 2025,8 Years,,Varun Pattani,19 February 2025,5 Years,,Ayusha Kumbhat,19 February 2025,3 Years,,"{""amc_name"": ""93"", ""benchmark_index"": ""93"", ""count"": 29, ""fund_manager_managing_fund_since"": ""93"", ""fund_manager_name"": ""93"", ""fund_manager_qualification"": ""93"", ""fund_manager_total_exp"": ""93"", ""load_exit"": ""93"", ""main_scheme_name"": ""93"", ""metrics_beta"": ""93"", ""metrics_information_ratio"": ""93"", ""metrics_port_turnover_ratio"": ""93"", ""metrics_sharpe"": ""93"", ""min_addl_amt"": ""93"", ""min_addl_amt_multiple"": ""93"", ""min_amt"": ""93"", ""min_amt_multiple"": ""93"", ""monthly_aaum_date"": ""93"", ""monthly_aaum_value"": ""93"", ""mutual_fund_name"": ""93"", ""riskometer"": ""93"", ""riskometer_benchmark"": ""93"", ""scheme_launch_date"": ""93""}"
Quant Money Managers Limited,quant Manufacturing Fund,Quant Mutual Fund,['Nifty India Manufacturing Index'],20260831,741.84 Cr,20230814,,,500,0,,,97,,"if any: For redemptions switch outs (including SIP STP) within 15 days from the date of allotment of units, irrespective of the amount of investment: 1%. No exit load shall be applicable on switches from Regular Plan to Direct Plan and vice versa, under the same scheme.",,,,,,,1.13,,,-0.18,,,93,,,0.54,,,,,,,Sandeep Tandon,14 August 2023,33 Years,,Jignesh Shah,20 February 2026,33 Years,,Sameer Kate,06 March 2025,31 Years,,Sanjeev Sharma,14 August 2023,20 Years,,Ankit Pande,14 August 2023,16 Years,,Yug Tibrewal,06 March 2025,8 Years,,Varun Pattani,19 February 2025,5 Years,,Ayusha Kumbhat,19 February 2025,3 Years,,"{""amc_name"": ""97"", ""benchmark_index"": ""97"", ""count"": 29, ""fund_manager_managing_fund_since"": ""97"", ""fund_manager_name"": ""97"", ""fund_manager_qualification"": ""97"", ""fund_manager_total_exp"": ""97"", ""load_exit"": ""97"", ""main_scheme_name"": ""97"", ""metrics_beta"": ""97"", ""metrics_information_ratio"": ""97"", ""metrics_port_turnover_ratio"": ""97"", ""metrics_sharpe"": ""97"", ""min_addl_amt"": ""97"", ""min_addl_amt_multiple"": ""97"", ""min_amt"": ""97"", ""min_amt_multiple"": ""97"", ""monthly_aaum_date"": ""97"", ""monthly_aaum_value"": ""97"", ""mutual_fund_name"": ""97"", ""riskometer"": ""97"", ""riskometer_benchmark"": ""97"", ""scheme_launch_date"": ""97""}"
Quant Money Managers Limited,quant PSU Fund,Quant Mutual Fund,['Nifty PSE'],20260831,443.48 Cr,20240220,,,500,0,,,101,,"if any: For redemptions switch outs (including SIP STP) within 15 days from the date of allotment of units, irrespective of the amount of investment: 1%. No exit load shall be applicable on switches from Regular Plan to Direct Plan and vice versa, under the same scheme.",,,,,,,1.03,,,,,,227,,,-0.12,,,,,,,Sandeep Tandon,20 February 2024,33 Years,,Sameer Kate,06 March 2025,31 Years,,Sanjeev Sharma,20 February 2024,20 Years,,Ankit Pande,20 February 2024,16 Years,,Yug Tibrewal,06 March 2025,8 Years,,Varun Pattani,03 February 2025,5 Years,,Ayusha Kumbhat,19 February 2025,3 Years,,,,,,"{""amc_name"": ""101"", ""benchmark_index"": ""101"", ""count"": 29, ""fund_manager_managing_fund_since"": ""101"", ""fund_manager_name"": ""101"", ""fund_manager_qualification"": ""101"", ""fund_manager_total_exp"": ""101"", ""load_exit"": ""101"", ""main_scheme_name"": ""101"", ""metrics_beta"": ""101"", ""metrics_port_turnover_ratio"": ""101"", ""metrics_sharpe"": ""101"", ""min_addl_amt"": ""101"", ""min_addl_amt_multiple"": ""101"", ""min_amt"": ""101"", ""min_amt_multiple"": ""101"", ""monthly_aaum_date"": ""101"", ""monthly_aaum_value"": ""101"", ""mutual_fund_name"": ""101"", ""riskometer"": ""101"", ""riskometer_benchmark"": ""101"", ""scheme_launch_date"": ""101""}"
Quant Money Managers Limited,quant Healthcare Fund,Quant Mutual Fund,['NIFTY Healthcare'],20260831,412.05 Cr,20230717,,,500,0,,,105,,"if any: For redemptions switch outs (including SIP STP) within 15 days from the date of allotment of units, irrespective of the amount of investment: 1%. No exit load shall be applicable on switches from Regular Plan to Direct Plan and vice versa, under the same scheme.",,,,,,,0.89,,,-0.04,,,105,,,0.85,,,,,,,Sandeep Tandon,17 July 2023,33 Years,,Sameer Kate,06 March 2025,31 Years,,Sanjeev Sharma,17 July 2023,20 Years,,Ankit Pande,17 July 2023,16 Years,,Yug Tibrewal,06 March 2025,8 Years,,Varun Pattani,03 February 2025,5 Years,,Ayusha Kumbhat,19 February 2025,3 Years,,,,,,"{""amc_name"": ""105"", ""benchmark_index"": ""105"", ""count"": 29, ""fund_manager_managing_fund_since"": ""105"", ""fund_manager_name"": ""105"", ""fund_manager_qualification"": ""105"", ""fund_manager_total_exp"": ""105"", ""load_exit"": ""105"", ""main_scheme_name"": ""105"", ""metrics_beta"": ""105"", ""metrics_information_ratio"": ""105"", ""metrics_port_turnover_ratio"": ""105"", ""metrics_sharpe"": ""105"", ""min_addl_amt"": ""105"", ""min_addl_amt_multiple"": ""105"", ""min_amt"": ""105"", ""min_amt_multiple"": ""105"", ""monthly_aaum_date"": ""105"", ""monthly_aaum_value"": ""105"", ""mutual_fund_name"": ""105"", ""riskometer"": ""105"", ""riskometer_benchmark"": ""105"", ""scheme_launch_date"": ""105""}"
Quant Money Managers Limited,quant Commodities Fund,Quant Mutual Fund,['Nifty Commodities'],20260831,356.96 Cr,20231227,,,500,0,,,109,,"if any: For redemptions switch outs (including SIP STP) within 15 days from the date of allotment of units, irrespective of the amount of investment: 1%. No exit load shall be applicable on switches from Regular Plan to Direct Plan and vice versa, under the same scheme.",,,,,,,1.15,,,,,,181,,,0.39,,,,,,,Sandeep Tandon,27 December 2023,33 Years,,Sameer Kate,03 February 2025,31 Years,,Sanjeev Sharma,27 December 2023,20 Years,,Ankit Pande,27 December 2023,16 Years,,Yug Tibrewal,06 March 2025,8 Years,,Varun Pattani,19 February 2025,5 Years,,Ayusha Kumbhat,19 February 2025,3 Years,,,,,,"{""amc_name"": ""109"", ""benchmark_index"": ""109"", ""count"": 29, ""fund_manager_managing_fund_since"": ""109"", ""fund_manager_name"": ""109"", ""fund_manager_qualification"": ""109"", ""fund_manager_total_exp"": ""109"", ""load_exit"": ""109"", ""main_scheme_name"": ""109"", ""metrics_beta"": ""109"", ""metrics_port_turnover_ratio"": ""109"", ""metrics_sharpe"": ""109"", ""min_addl_amt"": ""109"", ""min_addl_amt_multiple"": ""109"", ""min_amt"": ""109"", ""min_amt_multiple"": ""109"", ""monthly_aaum_date"": ""109"", ""monthly_aaum_value"": ""109"", ""mutual_fund_name"": ""109"", ""riskometer"": ""109"", ""riskometer_benchmark"": ""109"", ""scheme_launch_date"": ""109""}"
Quant Money Managers Limited,quant ESG Integration Strategy Fund,Quant Mutual Fund,['NIFTY 100 ESG'],20260831,330.83 Cr,20201105,,,500,0,,,113,,"if any: For redemptions switch outs (including SIP STP) within 15 days from the date of allotment of units, irrespective of the amount of investment: 1%. No exit load shall be applicable on switches from Regular Plan to Direct Plan and vice versa, under the same scheme.",,,,,,,1.12,,,0.55,,,190,,,0.59,,,,,,,Sandeep Tandon,03 February 2025,33 Years,,Sameer Kate,06 March 2025,31 Years,,Sanjeev Sharma,05 November 2020,20 Years,,Ankit Pande,05 November 2020,16 Years,,Yug Tibrewal,06 March 2025,8 Years,,Varun Pattani,19 February 2025,5 Years,,Ayusha Kumbhat,03 February 2025,3 Years,,,,,,"{""amc_name"": ""113"", ""benchmark_index"": ""113"", ""count"": 29, ""fund_manager_managing_fund_since"": ""113"", ""fund_manager_name"": ""113"", ""fund_manager_qualification"": ""113"", ""fund_manager_total_exp"": ""113"", ""load_exit"": ""113"", ""main_scheme_name"": ""113"", ""metrics_beta"": ""113"", ""metrics_information_ratio"": ""113"", ""metrics_port_turnover_ratio"": ""113"", ""metrics_sharpe"": ""113"", ""min_addl_amt"": ""113"", ""min_addl_amt_multiple"": ""113"", ""min_amt"": ""113"", ""min_amt_multiple"": ""113"", ""monthly_aaum_date"": ""113"", ""monthly_aaum_value"": ""113"", ""mutual_fund_name"": ""113"", ""riskometer"": ""113"", ""riskometer_benchmark"": ""113"", ""scheme_launch_date"": ""113""}"
Quant Money Managers Limited,quant Teck Fund,Quant Mutual Fund,['Nifty IT'],20260831,269.69 Cr,20230911,,,500,0,,,117,,"if any: For redemptions switch outs (including SIP STP) within 15 days from the date of allotment of units, irrespective of the amount of investment: 1%. No exit load shall be applicable on switches from Regular Plan to Direct Plan and vice versa, under the same scheme.",,,,,,,0.66,,,,,,229,,,-0.04,,,,,,,Sandeep Tandon,11 September 2023,33 Years,,Sameer Kate,06 March 2025,31 Years,,Sanjeev Sharma,11 September 2023,20 Years,,Ankit Pande,11 September 2023,16 Years,,Yug Tibrewal,06 March 2025,8 Years,,Varun Pattani,19 February 2025,5 Years,,Ayusha Kumbhat,03 February 2025,3 Years,,,,,,"{""amc_name"": ""117"", ""benchmark_index"": ""117"", ""count"": 29, ""fund_manager_managing_fund_since"": ""117"", ""fund_manager_name"": ""117"", ""fund_manager_qualification"": ""117"", ""fund_manager_total_exp"": ""117"", ""load_exit"": ""117"", ""main_scheme_name"": ""117"", ""metrics_beta"": ""117"", ""metrics_port_turnover_ratio"": ""117"", ""metrics_sharpe"": ""117"", ""min_addl_amt"": ""117"", ""min_addl_amt_multiple"": ""117"", ""min_amt"": ""117"", ""min_amt_multiple"": ""117"", ""monthly_aaum_date"": ""117"", ""monthly_aaum_value"": ""117"", ""mutual_fund_name"": ""117"", ""riskometer"": ""117"", ""riskometer_benchmark"": ""117"", ""scheme_launch_date"": ""117""}"
Quant Money Managers Limited,quant Consumption Fund,Quant Mutual Fund,['NIFTY India Consumption'],20260831,192.17 Cr,20240124,,,500,0,,,121,,"if any: For redemptions switch outs (including SIP STP) within 15 days from the date of allotment of units, irrespective of the amount of investment: 1%. No exit load shall be applicable on switches from Regular Plan to Direct Plan and vice versa, under the same scheme.",,,,,,,0.81,,,,,,144,,,-0.24,,,,,,,Sandeep Tandon,24 January 2024,33 Years,,Sameer Kate,06 March 2025,31 Years,,Sanjeev Sharma,24 January 2024,20 Years,,Ankit Pande,24 January 2024,16 Years,,Yug Tibrewal,06 March 2025,8 Years,,Varun Pattani,19 February 2025,5 Years,,Ayusha Kumbhat,03 February 2025,3 Years,,,,,,"{""amc_name"": ""121"", ""benchmark_index"": ""121"", ""count"": 29, ""fund_manager_managing_fund_since"": ""121"", ""fund_manager_name"": ""121"", ""fund_manager_qualification"": ""121"", ""fund_manager_total_exp"": ""121"", ""load_exit"": ""121"", ""main_scheme_name"": ""121"", ""metrics_beta"": ""121"", ""metrics_port_turnover_ratio"": ""121"", ""metrics_sharpe"": ""121"", ""min_addl_amt"": ""121"", ""min_addl_amt_multiple"": ""121"", ""min_amt"": ""121"", ""min_amt_multiple"": ""121"", ""monthly_aaum_date"": ""121"", ""monthly_aaum_value"": ""121"", ""mutual_fund_name"": ""121"", ""riskometer"": ""121"", ""riskometer_benchmark"": ""121"", ""scheme_launch_date"": ""121""}"
Quant Money Managers Limited,quant Equity Savings Fund,Quant Mutual Fund,['NIFTY Equity Savings Index'],20260831,55.87 Cr,20250724,,,500,0,,,125,,"if any: For redemptions switch outs (including SIP STP) within 15 days from the date of allotment of units, irrespective of the amount of investment: 1%. No exit load shall be applicable on switches from Regular Plan to Direct Plan and vice versa, under the same scheme.",,,,,,0.0,1.15,,,,0.0,0.0,311,,,0.20,,,,,,5.01,Sameer Kate,31 July 2025,31 Years,,Sanjeev Sharma,24 July 2025,20 Years,,Ankit Pande,24 July 2025,16 Years,,Varun Pattani,24 July 2025,5 Years,,Ayusha Kumbhat,24 July 2025,3 Years,,,,,,,,,,,,,,"{""amc_name"": ""125"", ""benchmark_index"": ""125"", ""count"": 29, ""fund_manager_managing_fund_since"": ""125"", ""fund_manager_name"": ""125"", ""fund_manager_qualification"": ""125"", ""fund_manager_total_exp"": ""125"", ""load_exit"": ""125"", ""main_scheme_name"": ""125"", ""metrics_avg_maturity"": ""125"", ""metrics_beta"": ""125"", ""metrics_macaulay"": ""125"", ""metrics_mod_duration"": ""125"", ""metrics_port_turnover_ratio"": ""125"", ""metrics_sharpe"": ""125"", ""metrics_ytm"": ""125"", ""min_addl_amt"": ""125"", ""min_addl_amt_multiple"": ""125"", ""min_amt"": ""125"", ""min_amt_multiple"": ""125"", ""monthly_aaum_date"": ""125"", ""monthly_aaum_value"": ""125"", ""mutual_fund_name"": ""125"", ""riskometer"": ""125"", ""riskometer_benchmark"": ""125"", ""scheme_launch_date"": ""125""}"
Quant Money Managers Limited,quant Multi Asset Allocation Fund,Quant Mutual Fund,['65% NIFTY 500 + 15% CRISIL Short Term Bond Fund Index + 20% iCOMDEX Composite Index'],20260831,"6,530.31 Cr",20010417,,,500,0,,,129,,"if any: For redemptions switch outs (including SIP STP) within 15 days from the date of allotment of units, irrespective of the amount of investment: 1%. No exit load shall be applicable on switches from Regular Plan to Direct Plan and vice versa, under the same scheme.",,,,,,1.68,0.76,,,,0.98,0.94,92,,,1.35,,,,,,5.52,Sandeep Tandon,01 April 2022,33 Years,,Sameer Kate,03 February 2025,31 Years,,Sanjeev Sharma,03 October 2019,20 Years,,Ankit Pande,10 May 2020,16 Years,,Yug Tibrewal,06 March 2025,8 Years,,Varun Pattani,19 February 2025,5 Years,,Ayusha Kumbhat,19 February 2025,3 Years,,,,,,"{""amc_name"": ""129"", ""benchmark_index"": ""129"", ""count"": 29, ""fund_manager_managing_fund_since"": ""129"", ""fund_manager_name"": ""129"", ""fund_manager_qualification"": ""129"", ""fund_manager_total_exp"": ""129"", ""load_exit"": ""129"", ""main_scheme_name"": ""129"", ""metrics_avg_maturity"": ""129"", ""metrics_beta"": ""129"", ""metrics_macaulay"": ""129"", ""metrics_mod_duration"": ""129"", ""metrics_port_turnover_ratio"": ""129"", ""metrics_sharpe"": ""129"", ""metrics_ytm"": ""129"", ""min_addl_amt"": ""129"", ""min_addl_amt_multiple"": ""129"", ""min_amt"": ""129"", ""min_amt_multiple"": ""129"", ""monthly_aaum_date"": ""129"", ""monthly_aaum_value"": ""129"", ""mutual_fund_name"": ""129"", ""riskometer"": ""129"", ""riskometer_benchmark"": ""129"", ""scheme_launch_date"": ""129""}"
Quant Money Managers Limited,quant Liquid Fund,Quant Mutual Fund,['CRISIL LIQUID FUND A1 INDEX'],20260831,,20051003,,,500,0,,,133,,"if any: Investor exit upon subscription switch-In Exit Load as a % of redemption Proceeds No exit load shall be applicable on switches from Regular Plan to Direct Plan, under the same scheme.",,,,,,0.11,,,,,0.11,0.11,,,,,,,,,,6.16,Sanjeev Sharma,03 October 2019,20 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""amc_name"": ""133"", ""benchmark_index"": ""133"", ""count"": 29, ""fund_manager_managing_fund_since"": ""133"", ""fund_manager_name"": ""133"", ""fund_manager_qualification"": ""133"", ""fund_manager_total_exp"": ""133"", ""load_exit"": ""133"", ""main_scheme_name"": ""133"", ""metrics_avg_maturity"": ""133"", ""metrics_macaulay"": ""133"", ""metrics_mod_duration"": ""133"", ""metrics_ytm"": ""133"", ""min_addl_amt"": ""133"", ""min_addl_amt_multiple"": ""133"", ""min_amt"": ""133"", ""min_amt_multiple"": ""133"", ""monthly_aaum_date"": ""133"", ""mutual_fund_name"": ""133"", ""riskometer"": ""133"", ""riskometer_benchmark"": ""133"", ""scheme_launch_date"": ""133""}"
Quant Money Managers Limited,quant Gilt Fund,Quant Mutual Fund,['CRISIL DYNAMIC GILT INDEX'],20260831,,20221221,,,500,0,,,137,,if any: Nil,,,,,,5.29,,,,,4.07,3.93,,,,,,,,,,6.67,Sanjeev Sharma,21 December 2022,20 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""amc_name"": ""137"", ""benchmark_index"": ""137"", ""count"": 29, ""fund_manager_managing_fund_since"": ""137"", ""fund_manager_name"": ""137"", ""fund_manager_qualification"": ""137"", ""fund_manager_total_exp"": ""137"", ""load_exit"": ""137"", ""main_scheme_name"": ""137"", ""metrics_avg_maturity"": ""137"", ""metrics_macaulay"": ""137"", ""metrics_mod_duration"": ""137"", ""metrics_ytm"": ""137"", ""min_addl_amt"": ""137"", ""min_addl_amt_multiple"": ""137"", ""min_amt"": ""137"", ""min_amt_multiple"": ""137"", ""monthly_aaum_date"": ""137"", ""mutual_fund_name"": ""137"", ""riskometer"": ""137"", ""riskometer_benchmark"": ""137"", ""scheme_launch_date"": ""137""}"
Quant Money Managers Limited,quant Overnight Fund,Quant Mutual Fund,['CRISIL OVERNIGHT INDEX'],20260831,,20221204,,,500,0,,,141,,if any: Nil,,,,,,,,,,,,,,,,,,,,,,,Sanjeev Sharma,05 December 2022,20 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""amc_name"": ""141"", ""benchmark_index"": ""141"", ""count"": 29, ""fund_manager_managing_fund_since"": ""141"", ""fund_manager_name"": ""141"", ""fund_manager_qualification"": ""141"", ""fund_manager_total_exp"": ""141"", ""load_exit"": ""141"", ""main_scheme_name"": ""141"", ""min_addl_amt"": ""141"", ""min_addl_amt_multiple"": ""141"", ""min_amt"": ""141"", ""min_amt_multiple"": ""141"", ""monthly_aaum_date"": ""141"", ""mutual_fund_name"": ""141"", ""riskometer"": ""141"", ""riskometer_benchmark"": ""141"", ""scheme_launch_date"": ""141""}"
