,Scheme_Name,Benchmark,RegularPercent,DirectPercent,mfId,date
0,HDFC Gold Exchange Traded Fund.,Domestic Price of Gold,0.28,0.28,9,01-jun-2022
1,HDFC Gold Exchange Traded Fund.,Domestic Price of Gold,0.28,0.28,9,02-jun-2022
2,HDFC Gold Exchange Traded Fund.,Domestic Price of Gold,0.28,0.28,9,03-jun-2022
3,HDFC Gold Exchange Traded Fund.,Domestic Price of Gold,0.28,0.28,9,06-jun-2022
4,HDFC Gold Exchange Traded Fund.,Domestic Price of Gold,0.27,0.27,9,07-jun-2022
5,HDFC Gold Exchange Traded Fund.,Domestic Price of Gold,0.27,0.27,9,08-jun-2022
6,HDFC Gold Exchange Traded Fund.,Domestic Price of Gold,0.27,0.27,9,09-jun-2022
7,HDFC Gold Exchange Traded Fund.,Domestic Price of Gold,0.27,0.27,9,10-jun-2022
8,HDFC Gold Exchange Traded Fund.,Domestic Price of Gold,0.28,0.28,9,13-jun-2022
9,HDFC Gold Exchange Traded Fund.,Domestic Price of Gold,0.28,0.28,9,14-jun-2022
10,HDFC Gold Exchange Traded Fund.,Domestic Price of Gold,0.28,0.28,9,15-jun-2022
11,HDFC Gold Exchange Traded Fund.,Domestic Price of Gold,0.28,0.28,9,16-jun-2022
12,HDFC Gold Exchange Traded Fund.,Domestic Price of Gold,0.27,0.27,9,17-jun-2022
13,HDFC Gold Exchange Traded Fund.,Domestic Price of Gold,0.27,0.27,9,20-jun-2022
14,HDFC Gold Exchange Traded Fund.,Domestic Price of Gold,0.27,0.27,9,21-jun-2022
15,HDFC Gold Exchange Traded Fund.,Domestic Price of Gold,0.27,0.27,9,22-jun-2022
16,HDFC Gold Exchange Traded Fund.,Domestic Price of Gold,0.27,0.27,9,23-jun-2022
17,Aditya Birla Sun Life CRISIL IBX 60:40 SDL + AAA PSU Apr 2027 Index Fund,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2027,0.95,0.95,3,24-jun-2022
18,Aditya Birla Sun Life CRISIL IBX 60:40 SDL+AAA PSU-Apr 2025 Index Fund,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2025,0.56,0.56,3,24-jun-2022
19,Aditya Birla Sun Life CRISIL IBX AAA Jun 2023 Index Fund,CRISIL IBX AAA Index - June 2023,0.29,0.3,3,24-jun-2022
20,Aditya Birla Sun Life Gold ETF,Domestic Price of Gold,0.23,,3,24-jun-2022
21,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund,NIFTY 50 Equal Weight Total Return Index,0.09,0.09,3,24-jun-2022
22,Aditya Birla Sun Life Nifty 50 ETF,NIFTY 50 Total Return Index,0.03,,3,24-jun-2022
23,Aditya Birla Sun Life Nifty 50 Index Fund,NIFTY 50 Total Return Index,0.06,0.06,3,24-jun-2022
24,Aditya Birla Sun Life Nifty Bank ETF,NIFTY Bank Total Return Index,0.04,,3,24-jun-2022
25,Aditya Birla Sun Life Nifty Healthcare ETF,NIFTY Healthcare Total Return Index.,0.02,,3,24-jun-2022
26,Aditya Birla Sun Life Nifty IT ETF,NIFTY IT Total Return Index,0.33,,3,24-jun-2022
27,Aditya Birla Sun Life Nifty Midcap 150 Index Fund,NIFTY Midcap 150 Total Return Index,0.14,0.14,3,24-jun-2022
28,Aditya Birla Sun Life Nifty Next 50 ETF,NIFTY Next 50 Total Return Index,0.05,,3,24-jun-2022
29,Aditya Birla Sun Life Nifty Next 50 Index Fund,NIFTY Next 50 Total Return Index,0.32,0.32,3,24-jun-2022
30,Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund,Nifty SDL Apr 2027 Index,1.57,1.57,3,24-jun-2022
31,Aditya Birla Sun Life Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund,Nifty SDL Plus PSU Bond Sep 2026 60:40 Index,1.27,1.27,3,24-jun-2022
32,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund,NIFTY Smallcap 50 Total Return Index,0.16,0.15,3,24-jun-2022
33,Aditya Birla Sun Life S&P BSE Sensex ETF,S&P BSE Sensex Total Return Index,0.04,,3,24-jun-2022
34,Aditya Birla Sun Life Silver ETF,Domestic Price of Silver,2.59,,3,24-jun-2022
35,Axis CRISIL IBX 70:30 CPSE Plus SDL April 2025 Index Fund,CRISIL IBX 70:30 CPSE Plus SDL - April 2025,0.59,0.59,53,24-jun-2022
36,Axis CRISIL IBX SDL May 2027 Index Fund,CRISIL IBX SDL Index - May 2027,1.28,1.28,53,24-jun-2022
37,Axis Gold ETF,Domestic Price of Gold,0.91,,53,24-jun-2022
38,Axis Nifty 100 Index Fund,NIFTY 100 Total Return Index,0.28,0.26,53,24-jun-2022
39,Axis Nifty 50 ETF,NIFTY 50 Total Return Index,0.07,,53,24-jun-2022
40,Axis Nifty 50 Index Fund,NIFTY 50 Total Return Index,0.5,0.51,53,24-jun-2022
41,Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF,Nifty AAA Bond Plus SDL Apr 2026 50:50 Index,1.09,,53,24-jun-2022
42,Axis NIFTY Bank ETF,NIFTY Bank Total Return Index,0.09,,53,24-jun-2022
43,Axis NIFTY Healthcare ETF,NIFTY Healthcare Total Return Index.,0.12,,53,24-jun-2022
44,Axis NIFTY India Consumption ETF,NIFTY India Consumption Total Return Index,0.37,,53,24-jun-2022
45,Axis NIFTY IT ETF,NIFTY IT Total Return Index,0.1,,53,24-jun-2022
46,Axis Nifty Midcap 50 Index Fund,NIFTY Midcap 50 Total Return Index,2.77,2.78,53,24-jun-2022
47,Axis Nifty Next 50 Index Fund,NIFTY Next 50 Total Return Index,0.57,0.57,53,24-jun-2022
48,Axis Nifty Smallcap 50 Index Fund,NIFTY Smallcap 50 Total Return Index,0.73,0.73,53,24-jun-2022
49,BHARAT 22 ETF,S&P BSE Bharat 22 Total Return Index,0.16,,20,24-jun-2022
50,BHARAT Bond ETF - April 2023,NIFTY Bharat Bond Index Series - April 2023,0.5,,47,24-jun-2022
51,BHARAT Bond ETF - April 2025,NIFTY Bharat Bond Index Series - April 2025,1.05,,47,24-jun-2022
52,BHARAT Bond ETF - April 2030,NIFTY Bharat Bond Index Series - Apri 2030,1.64,,47,24-jun-2022
53,BHARAT Bond ETF - April 2031,NIFTY Bharat Bond Index Series - Apri 2031,1.91,,47,24-jun-2022
54,BHARAT Bond ETF - April 2032,Nifty BHARAT Bond Index - April 2032,2.48,,47,24-jun-2022
55,CPSE ETF,NIFTY CPSE Total Return Index,0.23,,21,24-jun-2022
56,DSP NIFTY 1D Rate Liquid ETF,NIFTY 1D Rate Index,0.04,,6,24-jun-2022
57,DSP NIFTY 50 Equal Weight ETF,NIFTY 50 Equal Weight Total Return Index,0.08,,6,24-jun-2022
58,DSP Nifty 50 Equal Weight Index Fund,NIFTY 50 Equal Weight Total Return Index,0.07,0.07,6,24-jun-2022
59,DSP Nifty 50 ETF,NIFTY 50 Total Return Index,0.16,,6,24-jun-2022
60,DSP Nifty 50 Index Fund,NIFTY 50 Total Return Index,0.06,0.06,6,24-jun-2022
61,DSP Nifty Midcap 150 Quality 50 ETF,NIFTY Midcap150 Quality 50 Total Return Index,0.15,,6,24-jun-2022
62,DSP Nifty Next 50 Index Fund,NIFTY Next 50 Total Return Index,0.12,0.12,6,24-jun-2022
63,DSP Nifty SDL Plus G-Sec Jun 2028 30:70 Index Fund,Nifty SDL Plus G-Sec Jun 2028 30:70 Index,0.88,0.88,6,24-jun-2022
