,Scheme_Name,Benchmark,RegularPercent,DirectPercent,mfId,date
64,Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund,CRISIL IBX 50:50 PSU Plus SDL Index - October 2025,0.71,0.71,47,24-jun-2022
65,Edelweiss ETF - Nifty Bank,NIFTY Bank Total Return Index,0.13,,47,24-jun-2022
66,Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund,MSCI India Domestic & World Healthcare 45 Index,1.06,1.05,47,24-jun-2022
67,Edelweiss Nifty 100 Quality 30 Index Fund,NIFTY 100 Quality 30 Total Return Index,1.68,0.33,47,24-jun-2022
68,Edelweiss Nifty 50 Index Fund,NIFTY 50 Total Return Index,0.57,0.56,47,24-jun-2022
69,Edelweiss NIFTY Large Mid Cap 250 Index Fund,NIFTY Large Midcap 250 Total Return Index,0.3,0.3,47,24-jun-2022
70,Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index Fund,Nifty PSU Bond Plus SDL Apr 2026 50:50 Index,1.28,1.28,47,24-jun-2022
71,Edelweiss NIFTY PSU Bond Plus SDL Apr 2027 50:50 Index,Nifty PSU Bond Plus SDL Apr 2027 50:50 Index,1.5,1.5,47,24-jun-2022
72,Franklin India NSE Nifty 50 Index,NIFTY 50 Total Return Index,0.26,0.26,27,24-jun-2022
73,HDFC Gold Exchange Traded Fund.,Domestic Price of Gold,0.27,0.27,9,24-jun-2022
74,HDFC Index Fund Nifty 50 Plan,NIFTY 50 Total Return Index,0.05,0.05,9,24-jun-2022
75,HDFC Index S&P BSE Sensex Fund,S&P BSE Sensex Total Return Index,0.04,0.04,9,24-jun-2022
76,HDFC NIFTY 100 Equal Weight Index Fund,NIFTY 100 Equal Weighted Total Return Index,0.37,0.36,9,24-jun-2022
77,HDFC Nifty 100 Index Fund,NIFTY 100 Total Return Index,0.45,0.44,9,24-jun-2022
78,HDFC Nifty 50 ETF,NIFTY 50 Total Return Index,0.05,,9,24-jun-2022
79,HDFC NIFTY Bank ETF,NIFTY Bank Total Return Index,0.05,,9,24-jun-2022
80,HDFC NIFTY Next 50 Index Fund,NIFTY Next 50 Total Return Index,0.19,0.19,9,24-jun-2022
81,HDFC NIFTY50 Equal Weight Index Fund,NIFTY 50 Equal Weight Total Return Index,0.12,0.11,9,24-jun-2022
82,HDFC S&P BSE Sensex ETF,S&P BSE Sensex Total Return Index,0.06,,9,24-jun-2022
83,HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund,CRISIL IBX 50:50 Gilt Plus SDL Index - April 2028,0.89,0.89,37,24-jun-2022
84,HSBC Nifty 50 Index Fund,NIFTY 50 Total Return Index,0.1,0.1,37,24-jun-2022
85,HSBC Nifty Next 50 Index Fund,NIFTY Next 50 Total Return Index,0.13,0.14,37,24-jun-2022
86,ICICI Prudential Gold ETF,Domestic Price of Gold,0.91,,20,24-jun-2022
87,ICICI Prudential NASDAQ 100 Index Fund,Nasdaq 100 Total Return Index,45.63,45.62,20,24-jun-2022
88,ICICI Prudential Nifty 100 ETF,NIFTY 100 Total Return Index,0.04,,20,24-jun-2022
89,ICICI Prudential Nifty 100 Low Volatility 30 ETF,NIFTY 100 Low Volatility 30 Total Return Index,0.05,,20,24-jun-2022
90,ICICI Prudential Nifty 5 yr Benchmark G-SEC ETF,Nifty 5yr Benchmark G-Sec Index,0.28,,20,24-jun-2022
91,ICICI Prudential Nifty 50 ETF,NIFTY 50 Total Return Index,0.03,,20,24-jun-2022
92,ICICI Prudential Nifty 50 Index Fund,NIFTY 50 Total Return Index,0.08,0.08,20,24-jun-2022
93,ICICI Prudential Nifty Alpha Low- Volatility 30 ETF,Nifty Alpha Low-Volatility 30 Total Return Index,0.09,,20,24-jun-2022
94,ICICI Prudential Nifty Auto ETF,NIFTY Auto Total Return Index,0.07,,20,24-jun-2022
95,ICICI Prudential Nifty Bank ETF,NIFTY Bank Total Return Index,0.04,,20,24-jun-2022
96,ICICI Prudential Nifty Bank Index Fund,NIFTY Bank Total Return Index,0.87,0.87,20,24-jun-2022
97,ICICI Prudential Nifty FMCG ETF,NIFTY FMCG Total Return Index,0.05,,20,24-jun-2022
98,ICICI Prudential Nifty Healthcare ETF,NIFTY Healthcare Total Return Index.,0.04,,20,24-jun-2022
99,ICICI Prudential Nifty India Consumption ETF,NIFTY India Consumption Total Return Index,0.12,,20,24-jun-2022
100,ICICI Prudential Nifty IT ETF,NIFTY IT Total Return Index,0.06,,20,24-jun-2022
101,ICICI Prudential Nifty Midcap 150 ETF,NIFTY Midcap 150 Total Return Index,0.09,,20,24-jun-2022
102,ICICI Prudential Nifty Midcap 150 Index Fund,NIFTY Midcap 150 Total Return Index,0.26,0.26,20,24-jun-2022
103,ICICI Prudential Nifty Next 50 ETF,NIFTY Next 50 Total Return Index,0.07,,20,24-jun-2022
104,ICICI Prudential Nifty Next 50 Index Fund,NIFTY Next 50 Total Return Index,0.08,0.08,20,24-jun-2022
105,ICICI Prudential Nifty Private Bank ETF,Nifty Private Bank TRI,0.05,,20,24-jun-2022
106,ICICI Prudential Nifty PSU Bond Plus SDL Sep 2027 40:60 Index Fund,Nifty PSU Bond Plus SDL Sep 2027 40:60 Index,1.44,1.44,20,24-jun-2022
107,ICICI Prudential Nifty SDL Sep 2027 Index Fund,Nifty SDL Sep 2027 Index,1.93,1.93,20,24-jun-2022
108,ICICI Prudential Nifty Smallcap 250 Index Fund,NIFTY Smallcap 250 Total Return Index,2.87,2.85,20,24-jun-2022
109,ICICI Prudential Nifty50 Value 20 ETF,NIFTY 50 Value 20 Total Return Index,0.06,,20,24-jun-2022
110,ICICI Prudential S&P BSE 500 ETF,S&P BSE 500 Total Return Index,0.03,,20,24-jun-2022
111,ICICI Prudential S&P BSE Liquid Rate ETF,S&P BSE Liquid Rate Index,0.22,,20,24-jun-2022
112,ICICI Prudential S&P BSE Midcap Select ETF,S&P BSE Midcap Select Total Return Index,0.05,,20,24-jun-2022
113,ICICI Prudential S&P BSE Sensex ETF,S&P BSE Sensex Total Return Index,0.04,,20,24-jun-2022
114,ICICI Prudential S&P BSE Sensex Index Fund,S&P BSE Sensex Total Return Index,0.1,0.1,20,24-jun-2022
115,ICICI Prudential Silver ETF,Domestic Price of Silver,1.58,,20,24-jun-2022
116,IDFC CRISIL IBX Gilt April 2028 Index Fund,CRISIL IBX Gilt April 2028 Index,0.31,0.31,48,24-jun-2022
117,IDFC CRISIL IBX Gilt June 2027 Index Fund,CRISIL IBX Gilt June 2027 Index,0.2,0.2,48,24-jun-2022
118,IDFC Nifty 100 Index Fund,NIFTY 100 Total Return Index,9.75,9.75,48,24-jun-2022
119,IDFC Nifty 50 ETF,NIFTY 50 Total Return Index,0.23,,48,24-jun-2022
120,IDFC Nifty 50 Index,NIFTY 50 Total Return Index,0.18,0.18,48,24-jun-2022
121,IDFC S&P BSE Sensex ETF,S&P BSE Sensex Total Return Index,0.22,,48,24-jun-2022
122,Indiabulls Nifty 50 ETF,NIFTY 50 Total Return Index,0.12,,63,24-jun-2022
123,Invesco India Gold ETF,Domestic Price of Gold,0.89,,42,24-jun-2022
124,Invesco India Nifty 50 ETF,NIFTY 50 Total Return Index,0.04,,42,24-jun-2022
125,Kotak Gold ETF,Domestic Price of Gold,0.4,,17,24-jun-2022
126,Kotak Nifty 100 Low Volatility 30 ETF,NIFTY 100 Low Volatility 30 Total Return Index,0.18,,17,24-jun-2022
127,Kotak Nifty 50 ETF,NIFTY 50 Total Return Index,0.03,,17,24-jun-2022
128,Kotak Nifty 50 Index Fund,NIFTY 50 Total Return Index,0.23,0.23,17,24-jun-2022
129,Kotak Nifty 50 Value 20 ETF,NIFTY 50 Value 20 Total Return Index,0.07,,17,24-jun-2022
130,Kotak Nifty Alpha 50 ETF,Nifty Alpha 50 Total Return Index,1.88,,17,24-jun-2022
131,Kotak Nifty Bank ETF,NIFTY Bank Total Return Index,0.04,,17,24-jun-2022
132,Kotak Nifty IT ETF,NIFTY IT Total Return Index,0.09,,17,24-jun-2022
133,Kotak Nifty Midcap 50 ETF,NIFTY Midcap 50 Total Return Index,0.21,,17,24-jun-2022
134,Kotak Nifty Next 50 Index Fund,NIFTY Next 50 Total Return Index,0.19,0.19,17,24-jun-2022
135,Kotak Nifty PSU Bank ETF,NIFTY PSU Bank Total Return Index,0.13,,17,24-jun-2022
136,Kotak Nifty SDL Apr 2027 Top 12 Equal Weight Index Fund,Nifty SDL Apr 2027 Top 12 Equal Weight Index,1.72,1.72,17,24-jun-2022
137,Kotak Nifty SDL Apr 2032 Top 12 Equal Weight Index Fund,Nifty SDL Apr 2032 Top 12 Equal Weight Index,3.63,3.62,17,24-jun-2022
138,Kotak S&P BSE Sensex ETF,S&P BSE Sensex Total Return Index,0.04,,17,24-jun-2022
139,LIC MF Nifty 100 ETF,NIFTY 100 Total Return Index,0.05,,18,24-jun-2022
140,LIC MF Nifty 50 ETF,NIFTY 50 Total Return Index,0.05,,18,24-jun-2022
141,LIC MF Nifty 50 Index Fund,NIFTY 50 Total Return Index,0.11,0.1,18,24-jun-2022
142,LIC MF Nifty 8-13 yr G-Sec ETF,NIFTY 8-13 yr G-Sec Index,0.42,,18,24-jun-2022
143,LIC MF S&P BSE Sensex ETF,S&P BSE Sensex Total Return Index,0.08,,18,24-jun-2022
144,LIC MF S&P BSE Sensex Index Fund,S&P BSE Sensex Total Return Index,0.17,0.17,18,24-jun-2022
145,Mirae Asset Hang Seng TECH ETF,Hang Seng TECH Total Return Index,1.8,,45,24-jun-2022
146,Mirae Asset Nifty 100 ESG Sector Leaders ETF,Nifty 100 ESG Sector Leaders Total Return Index,0.05,,45,24-jun-2022
147,Mirae Asset Nifty 50 ETF,NIFTY 50 Total Return Index,0.03,,45,24-jun-2022
148,Mirae Asset Nifty Financial Services ETF,NIFTY Financial Services Total Return Index,0.05,,45,24-jun-2022
149,Mirae Asset Nifty India Manufacturing ETF,Nifty India Manufacturing Total Return Index,0.11,,45,24-jun-2022
150,Mirae Asset Nifty Midcap 150 ETF,NIFTY Midcap 150 Total Return Index,0.13,,45,24-jun-2022
151,Mirae Asset Nifty Next 50 ETF,NIFTY Next 50 Total Return Index,0.07,,45,24-jun-2022
152,Mirae Asset Nifty SDL Jun 2027 Index Fund,Nifty SDL Jun 2027 Index,1.78,1.78,45,24-jun-2022
153,Mirae Asset NYSE FANG+ ETF,NYSE FANG+ Total Return Index,0.14,,45,24-jun-2022
154,Mirae Asset S&P 500 Top 50 ETF,S&P 500 Top 50 Total Return Index,0.25,,45,24-jun-2022
155,Motilal Oswal MSCI EAFE Top 100 Select Index Fund,MSCI EAFE Top 100 Select Index,12.58,12.57,55,24-jun-2022
156,Motilal Oswal NASDAQ 100 ETF,Nasdaq 100 Total Return Index,0.1,,55,24-jun-2022
157,Motilal Oswal Nasdaq Q 50 ETF,NASDAQ Q-50 Total Return Index,1.82,,55,24-jun-2022
158,Motilal Oswal Nifty 200 Momentum 30 ETF,Nifty 200 Momentum 30 Total Return Index,0.26,,55,24-jun-2022
159,Motilal Oswal Nifty 200 Momentum 30 Index Fund,Nifty 200 Momentum 30 Total Return Index,0.76,0.76,55,24-jun-2022
160,Motilal Oswal Nifty 5 year Benchmark G-Sec ETF,Nifty 5yr Benchmark G-Sec Index,0.35,,55,24-jun-2022
161,Motilal Oswal Nifty 50 ETF,NIFTY 50 Total Return Index,0.11,,55,24-jun-2022
162,Motilal Oswal Nifty 50 Index Fund,NIFTY 50 Total Return Index,0.07,0.07,55,24-jun-2022
163,Motilal Oswal Nifty 500 Index Fund,NIFTY 500 Total Return Index,0.07,0.06,55,24-jun-2022
164,Motilal Oswal Nifty Bank Index Fund,NIFTY Bank Total Return Index,0.16,0.16,55,24-jun-2022
165,Motilal Oswal Nifty Midcap 100 ETF,NIFTY Midcap 100 Total Return Index,0.13,,55,24-jun-2022
166,Motilal Oswal Nifty Midcap 150 Index Fund,NIFTY Midcap 150 Total Return Index,0.17,0.17,55,24-jun-2022
167,Motilal Oswal Nifty Next 50 Index Fund,NIFTY Next 50 Total Return Index,0.12,0.12,55,24-jun-2022
168,Motilal Oswal Nifty Smallcap 250 Index Fund,NIFTY Smallcap 250 Total Return Index,0.18,0.18,55,24-jun-2022
169,Motilal Oswal S&P 500 Index Fund,S&P 500 Total Return Index,0.17,0.17,55,24-jun-2022
170,Motilal Oswal S&P BSE Low Volatility ETF,S&P BSE Low Volatility Total Return Index,0.36,,55,24-jun-2022
171,Motilal Oswal S&P BSE Low Volatility Index Fund,S&P BSE Low Volatility Total Return Index,1.78,1.78,55,24-jun-2022
172,Navi Nifty 50 Index Fund,NIFTY 50 Total Return Index,0.13,0.13,54,24-jun-2022
173,Navi Nifty Bank Index Fund,NIFTY Bank Total Return Index,0.16,0.15,54,24-jun-2022
174,Navi Nifty Midcap 150 Index Fund,NIFTY Midcap 150 Total Return Index,0.26,0.25,54,24-jun-2022
175,Navi Nifty Next 50 Index Fund,NIFTY Next 50 Total Return Index,0.32,0.31,54,24-jun-2022
176,Nippon India ETF Gold BeES,Domestic Price of Gold Index,0.17,,21,24-jun-2022
177,Nippon India ETF Hang Seng BeES,Hang Seng Total Return Index,0.36,,21,24-jun-2022
178,Nippon India ETF Nifty 100,NIFTY 100 Total Return Index,0.05,,21,24-jun-2022
179,Nippon India ETF Nifty 1D Rate Liquid BeES,NIFTY 1D Rate Index,0.06,,21,24-jun-2022
180,Nippon India ETF Nifty 5 yr Benchmark G-Sec,Nifty 5yr Benchmark G-Sec Index,0.28,,21,24-jun-2022
181,Nippon India ETF Nifty 50 BeES,NIFTY 50 Total Return Index,0.03,,21,24-jun-2022
182,Nippon India ETF Nifty 50 Shariah BeES,NIFTY 50 Shariah Total Return Index,0.14,,21,24-jun-2022
183,Nippon India ETF Nifty 50 Value 20,NIFTY 50 Value 20 Total Return Index,0.11,,21,24-jun-2022
184,Nippon India ETF Nifty 8-13 yr G-Sec Long Term Gilt,NIFTY 8-13 yr G-Sec Index,0.48,,21,24-jun-2022
185,Nippon India ETF Nifty Bank BeES,NIFTY Bank Total Return Index,0.04,,21,24-jun-2022
186,Nippon India ETF Nifty CPSE Bond Plus SDL Sep 2024 50:50,Nifty CPSE Bond Plus SDL Sep 2024 50:50 Index,0.82,,21,24-jun-2022
187,Nippon India ETF Nifty Dividend Opportunities 50,NIFTY Dividend Opportunities 50 Total Return Index,0.2,,21,24-jun-2022
188,Nippon India ETF Nifty India Consumption,NIFTY India Consumption Total Return Index,0.08,,21,24-jun-2022
189,Nippon India ETF Nifty Infrastructure BeES,NIFTY Infrastructure Total Return Index,0.15,,21,24-jun-2022
190,Nippon India ETF Nifty IT,NIFTY IT Total Return Index,0.06,,21,24-jun-2022
191,Nippon India ETF Nifty Midcap 150,NIFTY Midcap 150 Total Return Index,0.12,,21,24-jun-2022
192,Nippon India ETF Nifty Next 50 Junior BeES,NIFTY Next 50 Total Return Index,0.06,,21,24-jun-2022
193,Nippon India ETF Nifty PSU Bank BeES,NIFTY PSU Bank Total Return Index,0.11,,21,24-jun-2022
194,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,Nifty SDL Apr 2026 Top 20 Equal Weight Index,1.61,,21,24-jun-2022
195,Nippon India ETF S&P BSE Sensex,S&P BSE Sensex Total Return Index,0.06,,21,24-jun-2022
196,Nippon India ETF S&P BSE Sensex Next 50,S&P BSE Sensex Next 50 Total Return Index,0.14,,21,24-jun-2022
197,Nippon India Index Nifty 50,NIFTY 50 Total Return Index,0.06,0.04,21,24-jun-2022
198,Nippon India Index S&P BSE Sensex,S&P BSE Sensex Total Return Index,0.09,0.09,21,24-jun-2022
199,Nippon India Nifty 50 Value 20 Index Fund,NIFTY 50 Value 20 Total Return Index,0.14,0.13,21,24-jun-2022
200,Nippon India Nifty AAA CPSE Bond Plus SDL - Apr 2027 Maturity 60:40 Index Fund,Nifty AAA CPSE Bond Plus SDL Apr 2027 60:40 Index,1.23,1.22,21,24-jun-2022
201,Nippon India Nifty Auto ETF,NIFTY Auto Total Return Index,0.17,,21,24-jun-2022
202,Nippon India Nifty Midcap 150 Index Fund,NIFTY Midcap 150 Total Return Index,0.17,0.17,21,24-jun-2022
203,Nippon India Nifty Pharma ETF,NIFTY Pharma Total Return Index,0.12,,21,24-jun-2022
204,Nippon India Nifty Smallcap 250 Index Fund,NIFTY Smallcap 250 Total Return Index,0.23,0.23,21,24-jun-2022
205,Nippon India Silver ETF,Domestic Price of Silver Index,0.84,,21,24-jun-2022
206,Quantum Gold Fund,Domestic Price of Gold,4.35,,41,24-jun-2022
207,Quantum Nifty 50 ETF,NIFTY 50 Total Return Index,0.06,,41,24-jun-2022
208,SBI CPSE Bond Plus SDL Sep 2026 50:50 Index Fund,Nifty CPSE Bond Plus SDL Sep 2026 50:50 Index,1.5,1.5,22,24-jun-2022
209,SBI Gold ETF,Domestic Price of Gold,0.35,,22,24-jun-2022
210,SBI Nifty 10 yr Benchmark G-Sec ETF,NIFTY 10 yr Benchmark G-Sec Index,0.14,,22,24-jun-2022
211,SBI Nifty 200 Quality 30 ETF,NIFTY 200 Quality 30 Total Return Index,0.05,,22,24-jun-2022
212,SBI Nifty 50 ETF,NIFTY 50 Total Return Index,0.03,,22,24-jun-2022
213,SBI Nifty Bank ETF,NIFTY Bank Total Return Index,0.03,,22,24-jun-2022
214,SBI Nifty Consumption ETF,NIFTY India Consumption Total Return Index,0.05,,22,24-jun-2022
215,SBI Nifty Index Fund,NIFTY 50 Total Return Index,0.03,0.03,22,24-jun-2022
216,SBI Nifty IT ETF,NIFTY IT Total Return Index,0.05,,22,24-jun-2022
217,SBI Nifty Next 50 ETF,NIFTY Next 50 Total Return Index,0.05,,22,24-jun-2022
218,SBI Nifty Next 50 Index Fund,NIFTY Next 50 Total Return Index,0.08,0.08,22,24-jun-2022
219,SBI Nifty Private Bank ETF,Nifty Private Bank TRI,0.05,,22,24-jun-2022
220,SBI S&P BSE 100 ETF,S&P BSE 100 Total Return Index,0.04,,22,24-jun-2022
221,SBI S&P BSE Sensex ETF,S&P BSE Sensex Total Return Index,0.03,,22,24-jun-2022
222,SBI S&P BSE Sensex Next 50 ETF,S&P BSE Sensex Next 50 Total Return Index,0.09,,22,24-jun-2022
223,Sundaram Nifty 100 Equal Weight Fund,NIFTY 100 Equal Weighted Total Return Index,0.44,0.44,33,24-jun-2022
224,Tata Nifty 50 ETF,NIFTY 50 Total Return Index,0.1,,25,24-jun-2022
225,Tata Nifty 50 Index Fund,NIFTY 50 Total Return Index,0.11,0.11,25,24-jun-2022
226,Tata Nifty India Digital ETF,Nifty India Digital Total Return Index,1.86,,25,24-jun-2022
227,Tata Nifty Private Bank ETF,Nifty Private Bank TRI,0.2,,25,24-jun-2022
228,Tata Nifty SDL Plus AAA PSU Bond Dec 2027 60:40 Index Fund,Nifty SDL Plus AAA PSU Bond Dec 2027 60: 40 Index,1.75,1.75,25,24-jun-2022
229,Tata S&P BSE Sensex Index Fund,S&P BSE Sensex Total Return Index,0.15,0.15,25,24-jun-2022
230,Taurus Nifty 50 Index,NIFTY 50 Total Return Index,1.02,1.02,26,24-jun-2022
231,UTI Gold ETF,Domestic Price of Gold,0.89,,28,24-jun-2022
232,UTI Nifty 50 ETF,NIFTY 50 Total Return Index,0.03,,28,24-jun-2022
233,UTI Nifty 50 Index Fund,NIFTY 50 Total Return Index,0.03,0.03,28,24-jun-2022
234,UTI Nifty Bank ETF,NIFTY Bank Total Return Index,0.03,,28,24-jun-2022
235,UTI Nifty Midcap 150 Quality 50 Index Fund,NIFTY Midcap150 Quality 50 Total Return Index,0.1,0.1,28,24-jun-2022
236,UTI Nifty Next 50 ETF,NIFTY Next 50 Total Return Index,0.04,,28,24-jun-2022
237,UTI Nifty Next 50 Index Fund,NIFTY Next 50 Total Return Index,0.07,0.07,28,24-jun-2022
238,UTI Nifty200 Momentum 30 Index Fund,Nifty 200 Momentum 30 Total Return Index,0.31,0.31,28,24-jun-2022
239,UTI S&P BSE Low Volatility Index Fund,S&P BSE Low Volatility Total Return Index,0.07,0.07,28,24-jun-2022
240,UTI S&P BSE Sensex ETF,S&P BSE Sensex Total Return Index,0.03,,28,24-jun-2022
241,UTI S&P BSE Sensex Index Fund,S&P BSE Sensex Total Return Index,0.2,0.2,28,24-jun-2022
