key,value
amc_name,Mirae Asset Asset Management Limited
main_scheme_name,Mirae Asset BSE India Defence ETF FOF
mutual_fund_name,Mirae Asset Mutual Fund
description,
field_location,"[{'asset_allocation_pattern': 3, 'main_scheme_name': 1, 'mutual_fund_name': 1}]"


instrument_type,min,max,total,risk_profile
Units Of Mirae Asset Bse India Defence Etf,95,100,,
Money Market Instruments Debt Securities Instruments And Or Units Of Debt Liquid Schemes Of Domestic Mutual Funds,0,5,,


