key,value
amc_name,Uti Asset Management Limited
main_scheme_name,UTI Nifty500 Shariah Index
mutual_fund_name,Uti Mutual Fund
description,
field_location,"[{'asset_allocation_pattern': 2, 'main_scheme_name': 1, 'mutual_fund_name': 1}]"


instrument_type,min,max,total,risk_profile
Securities Covered By Nifty500 Shariah Index,95%,100%,,
Cash And Other Shariah Compliant Instruments,0%,5%,,


