amc_name,main_scheme_name,mutual_fund_name,benchmark_index,monthly_aaum_date,monthly_aaum_value,scheme_launch_date,min_addl_amt,min_addl_amt_multiple,min_amt,min_amt_multiple,entry,exit,alpha,arithmetic_mean_ratio,average_div_yield,average_pb,average_pe,avg_maturity,beta,correlation_ratio,downside_deviation,information_ratio,macaulay,mod_duration,port_turnover_ratio,r_squared_ratio,roe_ratio,sharpe,sortino_ratio,std_dev,tracking_error,treynor_ratio,upside_deviation,ytm,name_1,managing_fund_since_1,total_exp_1,qualification_1,name_2,managing_fund_since_2,total_exp_2,qualification_2,name_3,managing_fund_since_3,total_exp_3,qualification_3,name_4,managing_fund_since_4,total_exp_4,qualification_4,field_location
Wealth Company Asset Management Holdings Private Limited,The Wealth Company Flexi Cap Fund,Wealth Company Mutual Fund,NIFTY 500 Index TRI,20251231,266.28 Crores,20251014,1000,1,1000,1,Nil,1% - If redeemed switched out within 30 days from the date of allotment. Nil if redeemed switched out after 30 days from the date of allotment,,,,,,,,,,,,,,,,,,,,,,,Aparna Shanker,October 2025,32 Years,,Umesh Sharma,October 2025,20 Years,,Neeraj Jain,January 2026,08 Years,,,,,,"{""amc_name"": ""13"", ""benchmark_index"": ""13"", ""count"": 5, ""fund_manager_managing_fund_since"": ""13"", ""fund_manager_name"": ""13"", ""fund_manager_qualification"": ""13"", ""fund_manager_total_exp"": ""13"", ""load_entry"": ""13"", ""load_exit"": ""13"", ""main_scheme_name"": ""13"", ""min_addl_amt"": ""13"", ""min_addl_amt_multiple"": ""13"", ""min_amt"": ""13"", ""min_amt_multiple"": ""13"", ""monthly_aaum_date"": ""13"", ""monthly_aaum_value"": ""13"", ""mutual_fund_name"": ""13"", ""riskometer"": ""13"", ""riskometer_benchmark"": ""13"", ""scheme_launch_date"": ""13""}"
Wealth Company Asset Management Holdings Private Limited,The Wealth Company Ethical Fund,Wealth Company Mutual Fund,NIFTY 500 Shariah TRI Index,20251231,39.60 Crores,20251014,1000,1,1000,1,Nil,1% - If redeemed switched out within 30 days from the date of allotment and Nil - if redeemed switched out after 30 days from the date of allotment.,,,,,,,,,,,,,,,,,,,,,,,Aparna Shanker,October 2025,32 Years,,Ms Saloni Kapadia,January 2026,19 Years,,,,,,,,,,"{""amc_name"": ""14"", ""benchmark_index"": ""14"", ""count"": 5, ""fund_manager_managing_fund_since"": ""14"", ""fund_manager_name"": ""14"", ""fund_manager_qualification"": ""14"", ""fund_manager_total_exp"": ""14"", ""load_entry"": ""14"", ""load_exit"": ""14"", ""main_scheme_name"": ""14"", ""min_addl_amt"": ""14"", ""min_addl_amt_multiple"": ""14"", ""min_amt"": ""14"", ""min_amt_multiple"": ""14"", ""monthly_aaum_date"": ""14"", ""monthly_aaum_value"": ""14"", ""mutual_fund_name"": ""14"", ""riskometer"": ""14"", ""riskometer_benchmark"": ""14"", ""scheme_launch_date"": ""14""}"
Wealth Company Asset Management Holdings Private Limited,The Wealth Company Arbitrage Fund,Wealth Company Mutual Fund,Nifty 50 Arbitrage Index (TRI),20251231,197.62 Crores,20251014,1000,1,1000,1,Nil,0.25% - If redeemed switched out within 7 days from the date of allotment. Nil if redeemed switched out after 7 days from the date of allotment.,,,,,,,,,,,,,,,,,,,,,,,Rouhak Shah,October 2025,16 Years,,Ms Aparna Shanker,October 2025,32 Years,,Neeraj Jain,January 2026,08 Years,,,,,,"{""amc_name"": ""15"", ""benchmark_index"": ""15"", ""count"": 5, ""fund_manager_managing_fund_since"": ""15"", ""fund_manager_name"": ""15"", ""fund_manager_qualification"": ""15"", ""fund_manager_total_exp"": ""15"", ""load_entry"": ""15"", ""load_exit"": ""15"", ""main_scheme_name"": ""15"", ""min_addl_amt"": ""15"", ""min_addl_amt_multiple"": ""15"", ""min_amt"": ""15"", ""min_amt_multiple"": ""15"", ""monthly_aaum_date"": ""15"", ""monthly_aaum_value"": ""15"", ""mutual_fund_name"": ""15"", ""riskometer"": ""15"", ""riskometer_benchmark"": ""15"", ""scheme_launch_date"": ""15""}"
Wealth Company Asset Management Holdings Private Limited,The Wealth Company Multi Asset Allocation Fund,Wealth Company Mutual Fund,NIFTY 200 TRI (40%) + NIFTY Short Duration Debt Index (45%) + Domestic Prices of Gold (10%) + Domestic Prices of Silver (5%),20251231,94.21 Crores,20251119,1000,1,1000,1,Nil,1% - If redeemed switched out within 30 days from the date of allotment. Nil - if redeemed switched out after 30 days from the date of allotment.,,,,,,,,,,,,,,,,,,,,,,,Aparna Shanker,December 2025,32 Years,,Umesh Sharma,December 2025,20 Years,,Varun Nanavati,December 2025,06 Years,,Niranjan Das,January 2026,32 Years,,"{""amc_name"": ""16"", ""benchmark_index"": ""16"", ""count"": 5, ""fund_manager_managing_fund_since"": ""16"", ""fund_manager_name"": ""16"", ""fund_manager_qualification"": ""16"", ""fund_manager_total_exp"": ""16"", ""load_entry"": ""16"", ""load_exit"": ""16"", ""main_scheme_name"": ""16"", ""min_addl_amt"": ""16"", ""min_addl_amt_multiple"": ""16"", ""min_amt"": ""16"", ""min_amt_multiple"": ""16"", ""monthly_aaum_date"": ""16"", ""monthly_aaum_value"": ""16"", ""mutual_fund_name"": ""16"", ""riskometer"": ""16"", ""riskometer_benchmark"": ""16"", ""scheme_launch_date"": ""16""}"
Wealth Company Asset Management Holdings Private Limited,The Wealth Company Liquid Fund,Wealth Company Mutual Fund,,20251231,"1,004.53 Crores",,,,,,,,,,,,,0.15,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""amc_name"": ""17"", ""count"": 5, ""main_scheme_name"": ""17"", ""metrics_avg_maturity"": ""17"", ""metrics_macaulay"": ""17"", ""min_addl_amt"": ""17"", ""min_addl_amt_multiple"": ""17"", ""min_amt"": ""17"", ""min_amt_multiple"": ""17"", ""monthly_aaum_date"": ""17"", ""monthly_aaum_value"": ""17"", ""mutual_fund_name"": ""17"", ""riskometer"": ""17"", ""riskometer_benchmark"": ""17""}"
